ID,High School Bounday,High School Address,Boundary grades,geometry
609709,GAGE PARK HS,"5630 S Rockwell St  Chicago, IL 60629","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.679162,41.793505,0.0 -87.679192,41.793871,0.0 -87.683084,41.793827,0.0 -87.683868,41.793894,0.0 -87.697466,41.793634,0.0 -87.697362,41.789994,0.0 -87.696141,41.790015,0.0 -87.695937,41.782731,0.0 -87.700811,41.782654,0.0 -87.703252,41.782615,0.0 -87.703193,41.780803,0.0 -87.702973,41.771683,0.0 -87.702716,41.760764,0.0 -87.702529,41.760645,0.0 -87.702492,41.759055,0.0 -87.701437,41.758978,0.0 -87.700215,41.758991,0.0 -87.69411,41.759098,0.0 -87.692895,41.759191,0.0 -87.687997,41.759242,0.0 -87.688025,41.757322,0.0 -87.680501,41.757445,0.0 -87.680499,41.757355,0.0 -87.67844,41.75738,0.0 -87.679014,41.779365,0.0 -87.68026,41.779347,0.0 -87.68039,41.784767,0.0 -87.680431,41.786465,0.0 -87.678975,41.786574,0.0 -87.679162,41.793505,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609710,HARLAN HS,"9652 S Michigan Ave  Chicago, IL 60628","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.605043,41.744097,0.0 -87.605141,41.747635,0.0 -87.614877,41.747471,0.0 -87.614752,41.74382,0.0 -87.624774,41.743656,0.0 -87.6252,41.74365,0.0 -87.624998,41.736288,0.0 -87.628344,41.736258,0.0 -87.629739,41.736058,0.0 -87.633792,41.735954,0.0 -87.634446,41.735987,0.0 -87.635516,41.736189,0.0 -87.642658,41.736149,0.0 -87.643409,41.73613,0.0 -87.643628,41.736078,0.0 -87.672791,41.735662,0.0 -87.672628,41.735545,0.0 -87.668113,41.730221,0.0 -87.667029,41.728424,0.0 -87.666984,41.728423,0.0 -87.663006,41.72846,0.0 -87.66267,41.728528,0.0 -87.647768,41.728714,0.0 -87.653199,41.714095,0.0 -87.652032,41.714128,0.0 -87.651899,41.713961,0.0 -87.651486,41.713621,0.0 -87.650598,41.714136,0.0 -87.649446,41.714543,0.0 -87.648642,41.714723,0.0 -87.646975,41.714755,0.0 -87.633573,41.714929,0.0 -87.633562,41.714449,0.0 -87.63356,41.71433,0.0 -87.633447,41.714332,0.0 -87.633249,41.707049,0.0 -87.628302,41.707109,0.0 -87.613773,41.707323,0.0 -87.61395,41.71317,0.0 -87.605195,41.713308,0.0 -87.604863,41.714763,0.0 -87.60091,41.714841,0.0 -87.584773,41.715081,0.0 -87.584708,41.713703,0.0 -87.584378,41.713181,0.0 -87.584269,41.712676,0.0 -87.584523,41.710337,0.0 -87.584474,41.707804,0.0 -87.574124,41.707967,0.0 -87.585436,41.720621,0.0 -87.595587,41.736787,0.0 -87.600721,41.736713,0.0 -87.599054,41.744052,0.0 -87.605039,41.743978,0.0 -87.605043,41.744097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609711,HARPER HS,"6520 S Wood St  Chicago, IL 60636","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.658257,41.781435,0.0 -87.658267,41.783203,0.0 -87.6546,41.783253,0.0 -87.654647,41.785072,0.0 -87.672972,41.784826,0.0 -87.68039,41.784767,0.0 -87.68026,41.779347,0.0 -87.679014,41.779365,0.0 -87.67844,41.75738,0.0 -87.673342,41.757439,0.0 -87.663397,41.757549,0.0 -87.663399,41.75765,0.0 -87.662141,41.757668,0.0 -87.662138,41.757572,0.0 -87.65878,41.757631,0.0 -87.658877,41.761354,0.0 -87.657263,41.761377,0.0 -87.657356,41.765011,0.0 -87.656546,41.765024,0.0 -87.656695,41.770486,0.0 -87.659119,41.77045,0.0 -87.659172,41.77227,0.0 -87.664027,41.7722,0.0 -87.664127,41.775841,0.0 -87.661686,41.775876,0.0 -87.661836,41.781336,0.0 -87.659411,41.781366,0.0 -87.659409,41.781288,0.0 -87.658253,41.781305,0.0 -87.658257,41.781435,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609712,HIRSCH HS,"7740 S Ingleside Ave  Chicago, IL 60619","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.625674,41.75458,0.0 -87.625674,41.754584,0.0 -87.637738,41.754379,0.0 -87.638424,41.752552,0.0 -87.638579,41.752547,0.0 -87.639322,41.752536,0.0 -87.639415,41.754348,0.0 -87.644143,41.75428,0.0 -87.644049,41.75065,0.0 -87.67314,41.750239,0.0 -87.672791,41.735662,0.0 -87.643628,41.736078,0.0 -87.643409,41.73613,0.0 -87.642658,41.736149,0.0 -87.635516,41.736189,0.0 -87.634446,41.735987,0.0 -87.633792,41.735954,0.0 -87.629739,41.736058,0.0 -87.628344,41.736258,0.0 -87.624998,41.736288,0.0 -87.6252,41.74365,0.0 -87.625407,41.751178,0.0 -87.625674,41.75458,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609712,HIRSCH HS,"7740 S Ingleside Ave  Chicago, IL 60619","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.602997,41.762265,0.0 -87.61035,41.762154,0.0 -87.610306,41.760329,0.0 -87.615171,41.760242,0.0 -87.615046,41.754773,0.0 -87.614877,41.747471,0.0 -87.605141,41.747635,0.0 -87.605043,41.744097,0.0 -87.605039,41.743978,0.0 -87.599054,41.744052,0.0 -87.585381,41.744213,0.0 -87.585468,41.748363,0.0 -87.585629,41.749771,0.0 -87.602997,41.762265,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609712,HIRSCH HS,"7740 S Ingleside Ave  Chicago, IL 60619","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.607979,41.765842,0.0 -87.605593,41.765876,0.0 -87.605855,41.776785,0.0 -87.615541,41.776612,0.0 -87.615411,41.771193,0.0 -87.607979,41.765842,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609713,HYDE PARK HS,"6220 S Stony Island Ave  Chicago, IL 60637","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.572632,41.777346,0.0 -87.572411,41.77744,0.0 -87.571956,41.776916,0.0 -87.571815,41.776603,0.0 -87.571901,41.776238,0.0 -87.572223,41.77582,0.0 -87.57286,41.775624,0.0 -87.573562,41.775558,0.0 -87.574287,41.77561,0.0 -87.574909,41.775815,0.0 -87.57495,41.77604,0.0 -87.574665,41.776035,0.0 -87.574624,41.776179,0.0 -87.574928,41.776562,0.0 -87.575197,41.777013,0.0 -87.575294,41.777306,0.0 -87.575304,41.777667,0.0 -87.575235,41.778055,0.0 -87.575002,41.778731,0.0 -87.574688,41.778635,0.0 -87.574885,41.778715,0.0 -87.574949,41.77882,0.0 -87.574741,41.779119,0.0 -87.574444,41.779379,0.0 -87.574116,41.779536,0.0 -87.57296,41.779832,0.0 -87.572933,41.779903,0.0 -87.573085,41.780258,0.0 -87.571288,41.780847,0.0 -87.568311,41.781547,0.0 -87.567538,41.784604,0.0 -87.56765,41.78463,0.0 -87.568403,41.781616,0.0 -87.569473,41.781614,0.0 -87.570966,41.781853,0.0 -87.571683,41.782038,0.0 -87.573021,41.782533,0.0 -87.573717,41.782857,0.0 -87.575342,41.783773,0.0 -87.576062,41.78423,0.0 -87.576588,41.784676,0.0 -87.577203,41.78632,0.0 -87.577316,41.786821,0.0 -87.57734,41.787465,0.0 -87.577279,41.78809,0.0 -87.577146,41.788114,0.0 -87.577156,41.788206,0.0 -87.577644,41.788157,0.0 -87.577695,41.788399,0.0 -87.577333,41.788419,0.0 -87.577302,41.788376,0.0 -87.577199,41.788384,0.0 -87.577184,41.788423,0.0 -87.576686,41.788448,0.0 -87.576691,41.788502,0.0 -87.574771,41.788611,0.0 -87.574775,41.788662,0.0 -87.576395,41.788599,0.0 -87.577253,41.789148,0.0 -87.577907,41.78964,0.0 -87.577861,41.789802,0.0 -87.577891,41.789948,0.0 -87.578065,41.790387,0.0 -87.578381,41.79094,0.0 -87.578956,41.791769,0.0 -87.579138,41.792178,0.0 -87.579175,41.792395,0.0 -87.579016,41.792418,0.0 -87.578991,41.792477,0.0 -87.579224,41.79264,0.0 -87.579307,41.793471,0.0 -87.586643,41.793392,0.0 -87.586718,41.791339,0.0 -87.586601,41.78615,0.0 -87.595231,41.786069,0.0 -87.596935,41.785978,0.0 -87.606043,41.785882,0.0 -87.615765,41.785707,0.0 -87.615541,41.776612,0.0 -87.605855,41.776785,0.0 -87.605593,41.765876,0.0 -87.605151,41.765877,0.0 -87.604535,41.765806,0.0 -87.595843,41.765908,0.0 -87.595318,41.765993,0.0 -87.594506,41.766007,0.0 -87.590424,41.766023,0.0 -87.589581,41.765941,0.0 -87.581234,41.766033,0.0 -87.581375,41.771581,0.0 -87.563272,41.771773,0.0 -87.563304,41.772039,0.0 -87.563562,41.772121,0.0 -87.563948,41.772115,0.0 -87.564131,41.772168,0.0 -87.565975,41.773233,0.0 -87.566203,41.773476,0.0 -87.566078,41.77363,0.0 -87.566116,41.773758,0.0 -87.566344,41.773971,0.0 -87.566716,41.774137,0.0 -87.566909,41.774338,0.0 -87.568268,41.776083,0.0 -87.569261,41.7769,0.0 -87.570111,41.777337,0.0 -87.571175,41.778151,0.0 -87.571703,41.77864,0.0 -87.572173,41.779262,0.0 -87.572442,41.779371,0.0 -87.572577,41.779372,0.0 -87.57322,41.779199,0.0 -87.573385,41.778825,0.0 -87.573349,41.778271,0.0 -87.573179,41.778032,0.0 -87.572787,41.777682,0.0 -87.572874,41.777635,0.0 -87.572632,41.777346,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609713,HYDE PARK HS,"6220 S Stony Island Ave  Chicago, IL 60637","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.644227,41.757571,0.0 -87.644327,41.761571,0.0 -87.657263,41.761377,0.0 -87.658877,41.761354,0.0 -87.65878,41.757631,0.0 -87.662138,41.757572,0.0 -87.662141,41.757668,0.0 -87.663399,41.75765,0.0 -87.663397,41.757549,0.0 -87.673342,41.757439,0.0 -87.67314,41.750239,0.0 -87.644049,41.75065,0.0 -87.644143,41.75428,0.0 -87.644227,41.757571,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609715,KELLY HS,"4136 S California Ave  Chicago, IL 60632","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.697466,41.793634,0.0 -87.697466,41.793634,0.0 -87.683868,41.793894,0.0 -87.683084,41.793827,0.0 -87.679192,41.793871,0.0 -87.679195,41.793964,0.0 -87.679598,41.793959,0.0 -87.679635,41.795243,0.0 -87.679791,41.795241,0.0 -87.679805,41.795909,0.0 -87.680008,41.795907,0.0 -87.680017,41.797978,0.0 -87.679869,41.79798,0.0 -87.679781,41.798201,0.0 -87.679805,41.798808,0.0 -87.67943,41.798812,0.0 -87.679434,41.798977,0.0 -87.679978,41.79897,0.0 -87.679767,41.799316,0.0 -87.679801,41.799785,0.0 -87.680207,41.79978,0.0 -87.680223,41.800248,0.0 -87.679759,41.800254,0.0 -87.679783,41.801174,0.0 -87.679565,41.801177,0.0 -87.679606,41.803103,0.0 -87.679897,41.8031,0.0 -87.679906,41.803443,0.0 -87.679613,41.803445,0.0 -87.679614,41.803489,0.0 -87.679907,41.803487,0.0 -87.679932,41.804416,0.0 -87.679636,41.804419,0.0 -87.679637,41.804465,0.0 -87.681767,41.804447,0.0 -87.681766,41.804401,0.0 -87.683595,41.80438,0.0 -87.683604,41.804697,0.0 -87.679588,41.804745,0.0 -87.67959,41.804926,0.0 -87.679773,41.804924,0.0 -87.679794,41.805743,0.0 -87.679611,41.805746,0.0 -87.679632,41.806566,0.0 -87.679694,41.806565,0.0 -87.679745,41.808567,0.0 -87.679866,41.808565,0.0 -87.679963,41.81212,0.0 -87.680211,41.812116,0.0 -87.680296,41.815264,0.0 -87.68071,41.816266,0.0 -87.681108,41.816997,0.0 -87.682272,41.818689,0.0 -87.682274,41.818777,0.0 -87.683535,41.820594,0.0 -87.683591,41.820594,0.0 -87.684047,41.82125,0.0 -87.684084,41.822606,0.0 -87.683803,41.822609,0.0 -87.683485,41.822204,0.0 -87.683032,41.821846,0.0 -87.683018,41.821693,0.0 -87.682519,41.821496,0.0 -87.682512,41.821218,0.0 -87.68148,41.820839,0.0 -87.680401,41.820577,0.0 -87.679466,41.820447,0.0 -87.678625,41.820404,0.0 -87.671942,41.821089,0.0 -87.671244,41.82108,0.0 -87.670441,41.820968,0.0 -87.66785,41.821011,0.0 -87.667465,41.820969,0.0 -87.667451,41.820388,0.0 -87.665452,41.820419,0.0 -87.66544,41.819967,0.0 -87.665247,41.819991,0.0 -87.665351,41.822043,0.0 -87.665468,41.823158,0.0 -87.659879,41.823217,0.0 -87.655986,41.823324,0.0 -87.655976,41.823435,0.0 -87.656278,41.823429,0.0 -87.656276,41.823521,0.0 -87.656155,41.82385,0.0 -87.65591,41.824252,0.0 -87.65579,41.824818,0.0 -87.655949,41.830625,0.0 -87.657391,41.830608,0.0 -87.657372,41.830891,0.0 -87.657435,41.831205,0.0 -87.658664,41.832564,0.0 -87.66036,41.834378,0.0 -87.661293,41.834871,0.0 -87.661677,41.835261,0.0 -87.661996,41.835698,0.0 -87.662492,41.836149,0.0 -87.663084,41.836831,0.0 -87.663445,41.837813,0.0 -87.664274,41.839041,0.0 -87.664543,41.839563,0.0 -87.664548,41.840668,0.0 -87.664849,41.841251,0.0 -87.664975,41.841627,0.0 -87.664315,41.842809,0.0 -87.663925,41.844008,0.0 -87.664913,41.844716,0.0 -87.66537,41.844906,0.0 -87.66674,41.84495,0.0 -87.667224,41.84491,0.0 -87.667509,41.84483,0.0 -87.669937,41.843991,0.0 -87.672869,41.842842,0.0 -87.674324,41.842018,0.0 -87.674883,41.841751,0.0 -87.675747,41.841506,0.0 -87.677064,41.840556,0.0 -87.677623,41.840247,0.0 -87.683343,41.838365,0.0 -87.685024,41.837882,0.0 -87.685546,41.837732,0.0 -87.687528,41.837014,0.0 -87.688401,41.836831,0.0 -87.693893,41.835089,0.0 -87.69899,41.83354,0.0 -87.703156,41.832108,0.0 -87.714552,41.828578,0.0 -87.71445,41.827134,0.0 -87.714446,41.826994,0.0 -87.714432,41.826491,0.0 -87.714432,41.826491,0.0 -87.714312,41.826528,0.0 -87.714356,41.823734,0.0 -87.714399,41.822468,0.0 -87.714071,41.815238,0.0 -87.714071,41.815235,0.0 -87.714122,41.813504,0.0 -87.714122,41.813499,0.0 -87.708026,41.813571,0.0 -87.706976,41.813589,0.0 -87.706648,41.813589,0.0 -87.70661,41.813073,0.0 -87.706586,41.813051,0.0 -87.706331,41.812821,0.0 -87.704743,41.813796,0.0 -87.704217,41.814121,0.0 -87.704087,41.810902,0.0 -87.703971,41.807861,0.0 -87.703892,41.805037,0.0 -87.703892,41.805031,0.0 -87.703871,41.804308,0.0 -87.703866,41.804118,0.0 -87.703865,41.80411,0.0 -87.703865,41.804105,0.0 -87.703865,41.80409,0.0 -87.7038,41.804084,0.0 -87.698942,41.804191,0.0 -87.695322,41.804256,0.0 -87.695075,41.795502,0.0 -87.695991,41.795486,0.0 -87.696569,41.795474,0.0 -87.697517,41.795458,0.0 -87.697466,41.793634,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609716,KELVYN PARK HS,"4343 W Wrightwood Ave  Chicago, IL 60639","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.712095,41.924156,0.0 -87.712314,41.93185,0.0 -87.712259,41.931991,0.0 -87.741937,41.931602,0.0 -87.741933,41.931512,0.0 -87.742062,41.93151,0.0 -87.741872,41.926295,0.0 -87.741609,41.916991,0.0 -87.726565,41.917174,0.0 -87.726524,41.915458,0.0 -87.726516,41.915352,0.0 -87.711865,41.915533,0.0 -87.712095,41.924156,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609718,KENNEDY HS,"6325 W 56th St  Chicago, IL 60638","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.73838,41.807783,0.0 -87.738563,41.807781,0.0 -87.738563,41.807781,0.0 -87.738636,41.810966,0.0 -87.738643,41.811328,0.0 -87.738781,41.817874,0.0 -87.738671,41.818892,0.0 -87.738687,41.819311,0.0 -87.738887,41.81958,0.0 -87.738842,41.820921,0.0 -87.738867,41.822122,0.0 -87.744769,41.82204,0.0 -87.744661,41.815971,0.0 -87.753083,41.813318,0.0 -87.752742,41.800195,0.0 -87.764287,41.800053,0.0 -87.781799,41.799677,0.0 -87.797047,41.799456,0.0 -87.801632,41.798003,0.0 -87.801621,41.794822,0.0 -87.801544,41.792203,0.0 -87.801016,41.779143,0.0 -87.800878,41.776955,0.0 -87.800781,41.77421,0.0 -87.800827,41.77406,0.0 -87.800811,41.773705,0.0 -87.781903,41.774006,0.0 -87.754416,41.774534,0.0 -87.754409,41.775141,0.0 -87.754242,41.775387,0.0 -87.754457,41.775849,0.0 -87.754477,41.777109,0.0 -87.754312,41.777289,0.0 -87.754099,41.777366,0.0 -87.753199,41.777392,0.0 -87.753225,41.778226,0.0 -87.761721,41.778061,0.0 -87.762307,41.792743,0.0 -87.754415,41.792866,0.0 -87.737858,41.79308,0.0 -87.737886,41.79372,0.0 -87.738013,41.79392,0.0 -87.738018,41.794102,0.0 -87.738048,41.795181,0.0 -87.738062,41.795675,0.0 -87.738142,41.798611,0.0 -87.738149,41.798862,0.0 -87.738164,41.799438,0.0 -87.738166,41.799566,0.0 -87.738166,41.799579,0.0 -87.738183,41.800174,0.0 -87.738189,41.800394,0.0 -87.738169,41.800395,0.0 -87.73838,41.807783,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609719,LAKE VIEW HS,"4015 N Ashland Ave  Chicago, IL 60613","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.662885,41.955392,0.0 -87.664477,41.957964,0.0 -87.665192,41.959635,0.0 -87.665959,41.961642,0.0 -87.669264,41.961599,0.0 -87.678965,41.961466,0.0 -87.67876,41.954165,0.0 -87.690252,41.953994,0.0 -87.694549,41.954,0.0 -87.694653,41.953689,0.0 -87.695502,41.952622,0.0 -87.695782,41.95219,0.0 -87.696846,41.950248,0.0 -87.696834,41.9497,0.0 -87.696581,41.948399,0.0 -87.696345,41.947619,0.0 -87.69621,41.946704,0.0 -87.688263,41.946739,0.0 -87.687993,41.936112,0.0 -87.687679,41.935907,0.0 -87.687034,41.93528,0.0 -87.686831,41.934915,0.0 -87.685973,41.934041,0.0 -87.685499,41.933806,0.0 -87.685263,41.933793,0.0 -87.685007,41.933687,0.0 -87.684274,41.933625,0.0 -87.683439,41.933404,0.0 -87.682847,41.932336,0.0 -87.682847,41.93216,0.0 -87.682154,41.931412,0.0 -87.68081,41.930648,0.0 -87.680166,41.929298,0.0 -87.679846,41.928613,0.0 -87.679711,41.928472,0.0 -87.678106,41.928093,0.0 -87.678285,41.929063,0.0 -87.678329,41.930409,0.0 -87.678137,41.931885,0.0 -87.678141,41.932293,0.0 -87.670832,41.932381,0.0 -87.670864,41.933285,0.0 -87.661164,41.933434,0.0 -87.661299,41.937989,0.0 -87.658908,41.938024,0.0 -87.658974,41.939846,0.0 -87.649272,41.939989,0.0 -87.649222,41.938171,0.0 -87.644892,41.932808,0.0 -87.638095,41.93294,0.0 -87.637351,41.932939,0.0 -87.636245,41.932862,0.0 -87.636116,41.933165,0.0 -87.634971,41.933355,0.0 -87.630177,41.933341,0.0 -87.630193,41.933579,0.0 -87.630368,41.933904,0.0 -87.631439,41.935178,0.0 -87.631808,41.935852,0.0 -87.63197,41.93621,0.0 -87.63211,41.936811,0.0 -87.632371,41.937388,0.0 -87.632991,41.938084,0.0 -87.633174,41.938442,0.0 -87.633559,41.939365,0.0 -87.633862,41.940393,0.0 -87.633859,41.941352,0.0 -87.634005,41.941632,0.0 -87.634124,41.941705,0.0 -87.63434,41.94174,0.0 -87.634346,41.941868,0.0 -87.634459,41.941869,0.0 -87.634453,41.941602,0.0 -87.634608,41.941545,0.0 -87.634705,41.941422,0.0 -87.63477,41.94075,0.0 -87.635118,41.940755,0.0 -87.635103,41.940862,0.0 -87.635159,41.940866,0.0 -87.635176,41.940718,0.0 -87.634903,41.940703,0.0 -87.634922,41.940554,0.0 -87.635134,41.940155,0.0 -87.635417,41.939929,0.0 -87.635625,41.939837,0.0 -87.636152,41.939758,0.0 -87.636675,41.939751,0.0 -87.637043,41.939822,0.0 -87.637402,41.940179,0.0 -87.638386,41.941373,0.0 -87.638517,41.942515,0.0 -87.638724,41.942947,0.0 -87.639116,41.94338,0.0 -87.639336,41.94353,0.0 -87.639592,41.943603,0.0 -87.640465,41.94484,0.0 -87.640506,41.945018,0.0 -87.640454,41.945195,0.0 -87.640418,41.945247,0.0 -87.640205,41.945301,0.0 -87.64013,41.945388,0.0 -87.640203,41.945524,0.0 -87.640032,41.945808,0.0 -87.640055,41.945954,0.0 -87.641638,41.947292,0.0 -87.641899,41.947539,0.0 -87.64214,41.947866,0.0 -87.642071,41.948005,0.0 -87.641876,41.948013,0.0 -87.641546,41.947873,0.0 -87.641111,41.947612,0.0 -87.640839,41.947377,0.0 -87.64031,41.946728,0.0 -87.640275,41.946706,0.0 -87.640209,41.946769,0.0 -87.640105,41.946724,0.0 -87.640271,41.946526,0.0 -87.640027,41.946405,0.0 -87.639979,41.946462,0.0 -87.6397,41.946341,0.0 -87.638893,41.946319,0.0 -87.638688,41.946249,0.0 -87.638704,41.946209,0.0 -87.637369,41.945801,0.0 -87.636828,41.945053,0.0 -87.63697,41.944905,0.0 -87.636189,41.943251,0.0 -87.635928,41.942987,0.0 -87.635676,41.942913,0.0 -87.63543,41.942919,0.0 -87.634848,41.943191,0.0 -87.634695,41.943222,0.0 -87.634499,41.943199,0.0 -87.634274,41.943117,0.0 -87.634061,41.942921,0.0 -87.633883,41.942395,0.0 -87.633721,41.94223,0.0 -87.633375,41.942157,0.0 -87.633087,41.942275,0.0 -87.633001,41.942488,0.0 -87.633057,41.942627,0.0 -87.635068,41.944484,0.0 -87.636259,41.945771,0.0 -87.637552,41.947441,0.0 -87.637911,41.948021,0.0 -87.638643,41.949437,0.0 -87.639798,41.951908,0.0 -87.640445,41.953475,0.0 -87.645844,41.952985,0.0 -87.649659,41.952755,0.0 -87.649675,41.953201,0.0 -87.650536,41.954556,0.0 -87.662256,41.954386,0.0 -87.662885,41.955392,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609722,MANLEY HS,"2935 W Polk St  Chicago, IL 60612","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.742874,41.881683,0.0 -87.742879,41.881853,0.0 -87.7539,41.881723,0.0 -87.754152,41.881673,0.0 -87.755117,41.881675,0.0 -87.754539,41.86576,0.0 -87.739988,41.865967,0.0 -87.739882,41.862311,0.0 -87.721417,41.862573,0.0 -87.720342,41.862586,0.0 -87.720326,41.862207,0.0 -87.720276,41.862153,0.0 -87.720231,41.862125,0.0 -87.718956,41.862141,0.0 -87.718968,41.862367,0.0 -87.712873,41.862434,0.0 -87.712776,41.859008,0.0 -87.702954,41.859122,0.0 -87.702945,41.858849,0.0 -87.70086,41.859555,0.0 -87.700786,41.859548,0.0 -87.695761,41.861325,0.0 -87.695698,41.859229,0.0 -87.68584,41.859374,0.0 -87.685819,41.857414,0.0 -87.685112,41.857625,0.0 -87.683609,41.85788,0.0 -87.68051,41.858673,0.0 -87.676048,41.859315,0.0 -87.676505,41.875382,0.0 -87.690171,41.875283,0.0 -87.698264,41.87517,0.0 -87.700696,41.875004,0.0 -87.706384,41.874195,0.0 -87.708602,41.873959,0.0 -87.725428,41.87373,0.0 -87.725552,41.877095,0.0 -87.742703,41.876884,0.0 -87.742874,41.881683,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609723,MARSHALL HS,"3250 W Adams St  Chicago, IL 60624","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.726078,41.895099,0.0 -87.726086,41.895376,0.0 -87.745545,41.895016,0.0 -87.755605,41.894944,0.0 -87.755324,41.887209,0.0 -87.755117,41.881675,0.0 -87.754152,41.881673,0.0 -87.7539,41.881723,0.0 -87.742879,41.881853,0.0 -87.742874,41.881683,0.0 -87.742703,41.876884,0.0 -87.725552,41.877095,0.0 -87.725428,41.87373,0.0 -87.708602,41.873959,0.0 -87.706384,41.874195,0.0 -87.700696,41.875004,0.0 -87.698264,41.87517,0.0 -87.690171,41.875283,0.0 -87.676505,41.875382,0.0 -87.676852,41.888728,0.0 -87.684189,41.88861,0.0 -87.684127,41.886668,0.0 -87.686584,41.886637,0.0 -87.686534,41.884643,0.0 -87.691957,41.884425,0.0 -87.692102,41.886588,0.0 -87.692504,41.887142,0.0 -87.693007,41.887581,0.0 -87.693498,41.887701,0.0 -87.696466,41.887671,0.0 -87.696481,41.888231,0.0 -87.701416,41.888169,0.0 -87.701426,41.888306,0.0 -87.706343,41.888244,0.0 -87.706338,41.888107,0.0 -87.711222,41.888046,0.0 -87.711232,41.888368,0.0 -87.713669,41.888332,0.0 -87.71361,41.886327,0.0 -87.716061,41.886291,0.0 -87.716025,41.884928,0.0 -87.720926,41.885212,0.0 -87.720759,41.880797,0.0 -87.73058,41.880675,0.0 -87.73079,41.887734,0.0 -87.725874,41.887777,0.0 -87.726078,41.895099,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609724,MATHER HS,"5835 N Lincoln Ave  Chicago, IL 60659","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.690183,42.019302,0.0 -87.690179,42.019536,0.0 -87.708667,42.019152,0.0 -87.708777,42.01452,0.0 -87.709027,42.013409,0.0 -87.709063,42.011869,0.0 -87.709199,42.010435,0.0 -87.709365,42.003993,0.0 -87.70935,41.997397,0.0 -87.716039,41.9973,0.0 -87.728915,41.997247,0.0 -87.72887,41.991221,0.0 -87.72882,41.990747,0.0 -87.72863,41.989998,0.0 -87.728239,41.97554,0.0 -87.704731,41.975782,0.0 -87.705428,41.978409,0.0 -87.705961,41.97993,0.0 -87.706518,41.981796,0.0 -87.70667,41.982133,0.0 -87.706908,41.983088,0.0 -87.699163,41.983129,0.0 -87.699016,41.978567,0.0 -87.692626,41.978604,0.0 -87.692548,41.977692,0.0 -87.689227,41.977715,0.0 -87.6893,41.979532,0.0 -87.689465,41.983446,0.0 -87.68995,42.000014,0.0 -87.690253,42.012131,0.0 -87.690183,42.019302,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
