geometry,Network,Admin,Address,Phone,Lat,Long,MarkerName
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.805842,42.000857,0.0 -87.806764,42.000845,0.0 -87.806553,42.018972,0.0 -87.821216,42.01865,0.0 -87.821236,42.015549,0.0 -87.820075,42.015578,0.0 -87.820104,42.011933,0.0 -87.819736,42.011941,0.0 -87.819735,42.011393,0.0 -87.821259,42.011365,0.0 -87.82141,41.99693,0.0 -87.821775,41.995436,0.0 -87.82217,41.99312,0.0 -87.823333,41.984517,0.0 -87.837663,41.986527,0.0 -87.849537,41.988306,0.0 -87.851333,41.9885,0.0 -87.853864,41.988624,0.0 -87.854836,41.988768,0.0 -87.855605,41.988984,0.0 -87.855501,41.988458,0.0 -87.85531,41.98814,0.0 -87.85531,41.987925,0.0 -87.856089,41.986322,0.0 -87.856279,41.985674,0.0 -87.856529,41.985119,0.0 -87.856566,41.984807,0.0 -87.856536,41.98456,0.0 -87.856042,41.98328,0.0 -87.855998,41.982825,0.0 -87.855629,41.982177,0.0 -87.855563,41.981848,0.0 -87.855607,41.981447,0.0 -87.855739,41.981101,0.0 -87.856003,41.980607,0.0 -87.856327,41.980222,0.0 -87.856967,41.979816,0.0 -87.857805,41.97908,0.0 -87.858731,41.978152,0.0 -87.859459,41.977597,0.0 -87.859695,41.977152,0.0 -87.86043,41.976559,0.0 -87.861026,41.976185,0.0 -87.861841,41.975147,0.0 -87.861936,41.974131,0.0 -87.861781,41.973456,0.0 -87.861553,41.973055,0.0 -87.861324,41.972814,0.0 -87.860846,41.972413,0.0 -87.860463,41.972172,0.0 -87.859433,41.971673,0.0 -87.859175,41.971591,0.0 -87.858785,41.971563,0.0 -87.858123,41.971662,0.0 -87.857711,41.971794,0.0 -87.857005,41.972234,0.0 -87.856329,41.972547,0.0 -87.856123,41.972608,0.0 -87.855387,41.972646,0.0 -87.854806,41.972372,0.0 -87.854268,41.971867,0.0 -87.854062,41.971582,0.0 -87.853951,41.971274,0.0 -87.853951,41.97106,0.0 -87.854054,41.970703,0.0 -87.854737,41.969171,0.0 -87.854891,41.968704,0.0 -87.854979,41.968139,0.0 -87.854655,41.967123,0.0 -87.85464,41.966415,0.0 -87.854749,41.965932,0.0 -87.85508,41.965185,0.0 -87.855271,41.964905,0.0 -87.855572,41.964625,0.0 -87.855631,41.964482,0.0 -87.855631,41.964043,0.0 -87.855461,41.963049,0.0 -87.855476,41.962819,0.0 -87.85624,41.961567,0.0 -87.856445,41.96104,0.0 -87.856923,41.960172,0.0 -87.858047,41.95836,0.0 -87.858656,41.957234,0.0 -87.858708,41.956954,0.0 -87.858656,41.956526,0.0 -87.858531,41.956213,0.0 -87.858295,41.95585,0.0 -87.8579,41.955456,0.0 -87.846611,41.955695,0.0 -87.846618,41.951647,0.0 -87.85396,41.951459,0.0 -87.854459,41.950126,0.0 -87.854988,41.949159,0.0 -87.855098,41.948769,0.0 -87.855149,41.948231,0.0 -87.854847,41.94771,0.0 -87.854368,41.946661,0.0 -87.85375,41.945651,0.0 -87.853374,41.944773,0.0 -87.85302,41.943549,0.0 -87.852681,41.94261,0.0 -87.852335,41.941913,0.0 -87.852033,41.941128,0.0 -87.851745,41.939553,0.0 -87.851407,41.938877,0.0 -87.851024,41.93846,0.0 -87.850428,41.938158,0.0 -87.84981,41.937747,0.0 -87.849409,41.937299,0.0 -87.816525,41.937947,0.0 -87.816396,41.93432,0.0 -87.806629,41.934519,0.0 -87.806753,41.938004,0.0 -87.783998,41.938356,0.0 -87.742181,41.938899,0.0 -87.727191,41.939103,0.0 -87.727407,41.946381,0.0 -87.708849,41.946631,0.0 -87.69621,41.946704,0.0 -87.696345,41.947619,0.0 -87.696581,41.948399,0.0 -87.696834,41.9497,0.0 -87.696846,41.950248,0.0 -87.695782,41.95219,0.0 -87.695502,41.952622,0.0 -87.694653,41.953689,0.0 -87.694549,41.954,0.0 -87.694449,41.954667,0.0 -87.694471,41.955378,0.0 -87.694398,41.955888,0.0 -87.694372,41.95682,0.0 -87.69428,41.956858,0.0 -87.694273,41.957038,0.0 -87.694382,41.957068,0.0 -87.694348,41.957859,0.0 -87.694586,41.959212,0.0 -87.694709,41.961109,0.0 -87.694765,41.961322,0.0 -87.695483,41.962939,0.0 -87.69563,41.963187,0.0 -87.696056,41.96369,0.0 -87.696678,41.964296,0.0 -87.697043,41.964729,0.0 -87.698252,41.965828,0.0 -87.699564,41.967183,0.0 -87.700738,41.968263,0.0 -87.701089,41.968529,0.0 -87.701445,41.96895,0.0 -87.701551,41.969205,0.0 -87.701889,41.969553,0.0 -87.702027,41.969632,0.0 -87.70257,41.97024,0.0 -87.70315,41.971146,0.0 -87.704301,41.974283,0.0 -87.704462,41.974863,0.0 -87.704498,41.975208,0.0 -87.70472,41.975707,0.0 -87.704827,41.97628,0.0 -87.705199,41.977447,0.0 -87.705428,41.978409,0.0 -87.705961,41.97993,0.0 -87.706518,41.981796,0.0 -87.70667,41.982133,0.0 -87.70703,41.983543,0.0 -87.707515,41.984961,0.0 -87.707513,41.985176,0.0 -87.707828,41.986036,0.0 -87.707882,41.986354,0.0 -87.707773,41.986411,0.0 -87.707776,41.986495,0.0 -87.707854,41.986479,0.0 -87.70795,41.986531,0.0 -87.708502,41.988532,0.0 -87.708694,41.988904,0.0 -87.708869,41.989463,0.0 -87.709007,41.990166,0.0 -87.709391,41.991413,0.0 -87.709522,41.991621,0.0 -87.710171,41.99403,0.0 -87.71035,41.994912,0.0 -87.710518,41.995837,0.0 -87.710653,41.997374,0.0 -87.716039,41.9973,0.0 -87.729038,41.997247,0.0 -87.752906,41.997309,0.0 -87.762276,42.001695,0.0 -87.761999,42.002497,0.0 -87.761891,42.003248,0.0 -87.76167,42.00828,0.0 -87.767468,42.00833,0.0 -87.767549,42.004713,0.0 -87.765473,42.003743,0.0 -87.765801,42.003333,0.0 -87.769204,42.004921,0.0 -87.769954,42.006383,0.0 -87.770365,42.006202,0.0 -87.773355,42.011966,0.0 -87.777059,42.01199,0.0 -87.776978,42.015393,0.0 -87.77911,42.01545,0.0 -87.779154,42.013573,0.0 -87.779272,42.012,0.0 -87.788729,42.012005,0.0 -87.783108,42.00543,0.0 -87.782557,42.004902,0.0 -87.782009,42.004506,0.0 -87.790654,42.000407,0.0 -87.791172,42.000988,0.0 -87.79713,42.000948,0.0 -87.79713,42.000897,0.0 -87.797175,42.000896,0.0 -87.797176,42.000049,0.0 -87.79946,42.000038,0.0 -87.799638,42.000878,0.0 -87.801092,42.00088,0.0 -87.801084,42.001575,0.0 -87.805352,42.001524,0.0 -87.805361,42.000886,0.0 -87.805842,42.000857,0.0</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-87.82359,41.982566,0.0 -87.824432,41.976083,0.0 -87.833628,41.975926,0.0 -87.833625,41.976898,0.0 -87.82961,41.976967,0.0 -87.829613,41.977344,0.0 -87.830046,41.977337,0.0 -87.830029,41.978134,0.0 -87.829716,41.978139,0.0 -87.829723,41.978431,0.0 -87.828645,41.978447,0.0 -87.828702,41.979127,0.0 -87.828088,41.979131,0.0 -87.828088,41.979299,0.0 -87.828701,41.979294,0.0 -87.828697,41.980336,0.0 -87.828867,41.980333,0.0 -87.828865,41.980608,0.0 -87.835106,41.980503,0.0 -87.835102,41.980843,0.0 -87.834361,41.980854,0.0 -87.834357,41.981008,0.0 -87.834355,41.981164,0.0 -87.835098,41.981157,0.0 -87.835077,41.982683,0.0 -87.833602,41.982675,0.0 -87.83359,41.983579,0.0 -87.833217,41.983576,0.0 -87.833207,41.983703,0.0 -87.828476,41.983783,0.0 -87.828184,41.98385,0.0 -87.828142,41.981926,0.0 -87.825277,41.981971,0.0 -87.825303,41.983007,0.0 -87.823534,41.983034,0.0 -87.82359,41.982566,0.0</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-87.786761,41.967785,0.0 -87.786775,41.963558,0.0 -87.78681,41.963455,0.0 -87.787054,41.963312,0.0 -87.786969,41.963151,0.0 -87.786896,41.962699,0.0 -87.786811,41.960225,0.0 -87.794334,41.960038,0.0 -87.807296,41.953874,0.0 -87.807275,41.952772,0.0 -87.831799,41.952172,0.0 -87.831827,41.955709,0.0 -87.832101,41.957075,0.0 -87.832684,41.959446,0.0 -87.836705,41.959368,0.0 -87.836688,41.966605,0.0 -87.846576,41.966415,0.0 -87.846539,41.971898,0.0 -87.841581,41.971983,0.0 -87.841595,41.970151,0.0 -87.836656,41.97024,0.0 -87.836655,41.971374,0.0 -87.837957,41.971355,0.0 -87.83794,41.973852,0.0 -87.841556,41.973796,0.0 -87.841561,41.974698,0.0 -87.836637,41.974779,0.0 -87.836633,41.975318,0.0 -87.833632,41.975376,0.0 -87.833636,41.974921,0.0 -87.83342,41.974925,0.0 -87.833424,41.973928,0.0 -87.831728,41.973956,0.0 -87.831735,41.973064,0.0 -87.826748,41.973151,0.0 -87.826741,41.974041,0.0 -87.819404,41.97423,0.0 -87.819438,41.973227,0.0 -87.818974,41.973227,0.0 -87.818993,41.970616,0.0 -87.816959,41.970668,0.0 -87.816923,41.974297,0.0 -87.807072,41.974546,0.0 -87.807162,41.968277,0.0 -87.802548,41.968305,0.0 -87.80253,41.968781,0.0 -87.788015,41.968896,0.0 -87.788019,41.968418,0.0 -87.786778,41.968435,0.0 -87.786761,41.967785,0.0</coordinates></LinearRing></innerBoundaryIs></Polygon>",Network 1,Anna Alvarado,"6323 N. Avondale, Chicago, IL, 60631",773-534-1100,41.965124,-87.751923,01_circle_blue.png
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.709607,41.997393,0.0 -87.710653,41.997374,0.0 -87.710518,41.995837,0.0 -87.71035,41.994912,0.0 -87.710171,41.99403,0.0 -87.709522,41.991621,0.0 -87.709391,41.991413,0.0 -87.709007,41.990166,0.0 -87.708869,41.989463,0.0 -87.708694,41.988904,0.0 -87.708502,41.988532,0.0 -87.70795,41.986531,0.0 -87.707854,41.986479,0.0 -87.707776,41.986495,0.0 -87.707773,41.986411,0.0 -87.707882,41.986354,0.0 -87.707828,41.986036,0.0 -87.707513,41.985176,0.0 -87.707515,41.984961,0.0 -87.70703,41.983543,0.0 -87.70667,41.982133,0.0 -87.706518,41.981796,0.0 -87.705961,41.97993,0.0 -87.705428,41.978409,0.0 -87.705199,41.977447,0.0 -87.704827,41.97628,0.0 -87.70472,41.975707,0.0 -87.704498,41.975208,0.0 -87.704462,41.974863,0.0 -87.704301,41.974283,0.0 -87.70315,41.971146,0.0 -87.70257,41.97024,0.0 -87.702027,41.969632,0.0 -87.701889,41.969553,0.0 -87.701551,41.969205,0.0 -87.701445,41.96895,0.0 -87.701089,41.968529,0.0 -87.700738,41.968263,0.0 -87.699564,41.967183,0.0 -87.698252,41.965828,0.0 -87.697043,41.964729,0.0 -87.696678,41.964296,0.0 -87.696056,41.96369,0.0 -87.69563,41.963187,0.0 -87.695483,41.962939,0.0 -87.694765,41.961322,0.0 -87.694709,41.961109,0.0 -87.694586,41.959212,0.0 -87.694348,41.957859,0.0 -87.694382,41.957068,0.0 -87.694273,41.957038,0.0 -87.69428,41.956858,0.0 -87.694372,41.95682,0.0 -87.694398,41.955888,0.0 -87.694471,41.955378,0.0 -87.694449,41.954667,0.0 -87.694549,41.954,0.0 -87.690252,41.953994,0.0 -87.656596,41.954461,0.0 -87.644002,41.954662,0.0 -87.64103,41.954811,0.0 -87.641294,41.955864,0.0 -87.641751,41.958372,0.0 -87.641635,41.959339,0.0 -87.641031,41.959305,0.0 -87.641028,41.959359,0.0 -87.641619,41.959404,0.0 -87.641531,41.960191,0.0 -87.641679,41.960451,0.0 -87.642201,41.960965,0.0 -87.642288,41.961193,0.0 -87.642282,41.961524,0.0 -87.642129,41.96184,0.0 -87.641767,41.962166,0.0 -87.641256,41.962346,0.0 -87.636852,41.962884,0.0 -87.636316,41.962896,0.0 -87.635928,41.962852,0.0 -87.635631,41.962718,0.0 -87.635413,41.962494,0.0 -87.635336,41.962315,0.0 -87.635353,41.962046,0.0 -87.635836,41.961392,0.0 -87.636397,41.960943,0.0 -87.637325,41.960501,0.0 -87.638171,41.960315,0.0 -87.638827,41.960295,0.0 -87.639329,41.960411,0.0 -87.640269,41.960902,0.0 -87.640477,41.960899,0.0 -87.640741,41.960794,0.0 -87.640953,41.960498,0.0 -87.640964,41.960312,0.0 -87.640809,41.959985,0.0 -87.640477,41.95979,0.0 -87.640167,41.959697,0.0 -87.640375,41.959214,0.0 -87.640306,41.9592,0.0 -87.640105,41.959678,0.0 -87.638955,41.959433,0.0 -87.638173,41.959358,0.0 -87.637343,41.959388,0.0 -87.636645,41.959548,0.0 -87.635999,41.959904,0.0 -87.635594,41.960206,0.0 -87.634857,41.960921,0.0 -87.634229,41.961392,0.0 -87.633469,41.961754,0.0 -87.632895,41.961921,0.0 -87.632214,41.962198,0.0 -87.631731,41.962325,0.0 -87.63146,41.962461,0.0 -87.63132,41.962555,0.0 -87.63108,41.962843,0.0 -87.631002,41.963239,0.0 -87.631073,41.963469,0.0 -87.631226,41.963693,0.0 -87.63168,41.964046,0.0 -87.631897,41.964958,0.0 -87.631913,41.965931,0.0 -87.631803,41.966539,0.0 -87.631644,41.967023,0.0 -87.631353,41.967637,0.0 -87.630914,41.968298,0.0 -87.630888,41.968548,0.0 -87.631085,41.968777,0.0 -87.631404,41.968866,0.0 -87.631734,41.968801,0.0 -87.631959,41.96859,0.0 -87.63197,41.968337,0.0 -87.631826,41.968154,0.0 -87.631756,41.968195,0.0 -87.631888,41.96836,0.0 -87.631894,41.968515,0.0 -87.631798,41.968672,0.0 -87.631638,41.968767,0.0 -87.631394,41.968798,0.0 -87.63119,41.968747,0.0 -87.631035,41.96863,0.0 -87.630967,41.968429,0.0 -87.631559,41.967423,0.0 -87.631866,41.966634,0.0 -87.633212,41.96643,0.0 -87.634481,41.966426,0.0 -87.634935,41.96647,0.0 -87.635803,41.966678,0.0 -87.638727,41.967797,0.0 -87.640103,41.968288,0.0 -87.641264,41.968634,0.0 -87.64209,41.968961,0.0 -87.643742,41.969739,0.0 -87.644545,41.970195,0.0 -87.645578,41.97167,0.0 -87.646011,41.972507,0.0 -87.646212,41.973106,0.0 -87.646284,41.974523,0.0 -87.646129,41.975576,0.0 -87.646147,41.975824,0.0 -87.646399,41.977053,0.0 -87.646668,41.977451,0.0 -87.64612,41.977818,0.0 -87.646151,41.977845,0.0 -87.646697,41.977479,0.0 -87.647207,41.977734,0.0 -87.648028,41.977817,0.0 -87.64816,41.9782,0.0 -87.649599,41.979885,0.0 -87.649925,41.980381,0.0 -87.650679,41.981904,0.0 -87.650739,41.982146,0.0 -87.65073,41.982867,0.0 -87.650544,41.983842,0.0 -87.650227,41.984677,0.0 -87.649358,41.986401,0.0 -87.649735,41.985754,0.0 -87.650233,41.985889,0.0 -87.650586,41.986058,0.0 -87.652696,41.988098,0.0 -87.653714,41.989209,0.0 -87.653957,41.989606,0.0 -87.653934,41.989877,0.0 -87.653743,41.989852,0.0 -87.65363,41.989944,0.0 -87.653842,41.990293,0.0 -87.653974,41.990294,0.0 -87.65405,41.990223,0.0 -87.654124,41.990265,0.0 -87.654171,41.990896,0.0 -87.654293,41.99093,0.0 -87.65432,41.991057,0.0 -87.654221,41.992297,0.0 -87.654079,41.992448,0.0 -87.654004,41.993039,0.0 -87.654059,41.993102,0.0 -87.654396,41.993144,0.0 -87.654525,41.993402,0.0 -87.654413,41.993483,0.0 -87.654396,41.993867,0.0 -87.654236,41.993896,0.0 -87.654222,41.994041,0.0 -87.654238,41.994268,0.0 -87.654374,41.994335,0.0 -87.6544,41.994546,0.0 -87.654555,41.994544,0.0 -87.654438,41.995267,0.0 -87.654597,41.995671,0.0 -87.654475,41.995942,0.0 -87.65441,41.995977,0.0 -87.654251,41.995943,0.0 -87.654214,41.996026,0.0 -87.654412,41.997748,0.0 -87.654562,41.998283,0.0 -87.655367,41.999276,0.0 -87.655588,41.999619,0.0 -87.65598,42.00075,0.0 -87.655927,42.001023,0.0 -87.656212,42.001672,0.0 -87.656274,42.002141,0.0 -87.656421,42.002589,0.0 -87.656397,42.002798,0.0 -87.656727,42.004082,0.0 -87.656701,42.004465,0.0 -87.657052,42.005413,0.0 -87.657144,42.006132,0.0 -87.657125,42.006299,0.0 -87.655852,42.006318,0.0 -87.655079,42.006909,0.0 -87.655115,42.006938,0.0 -87.655491,42.006652,0.0 -87.655698,42.006794,0.0 -87.656532,42.007594,0.0 -87.657654,42.009141,0.0 -87.658419,42.009933,0.0 -87.658362,42.009969,0.0 -87.658685,42.010125,0.0 -87.658898,42.01039,0.0 -87.659512,42.010912,0.0 -87.65971,42.011175,0.0 -87.66068,42.012059,0.0 -87.660792,42.01229,0.0 -87.660891,42.012262,0.0 -87.661077,42.012616,0.0 -87.66109,42.012772,0.0 -87.660944,42.012792,0.0 -87.661161,42.01279,0.0 -87.661363,42.013256,0.0 -87.661348,42.013472,0.0 -87.661433,42.01347,0.0 -87.661586,42.013922,0.0 -87.66174,42.014104,0.0 -87.66181,42.014409,0.0 -87.661934,42.014533,0.0 -87.661892,42.014714,0.0 -87.66195,42.014702,0.0 -87.66193,42.014987,0.0 -87.662076,42.014984,0.0 -87.662136,42.015441,0.0 -87.662245,42.015763,0.0 -87.662305,42.015763,0.0 -87.662252,42.016083,0.0 -87.662173,42.016123,0.0 -87.662004,42.01612,0.0 -87.661982,42.01622,0.0 -87.662147,42.016483,0.0 -87.662304,42.016462,0.0 -87.662301,42.016383,0.0 -87.662353,42.016369,0.0 -87.662537,42.016454,0.0 -87.662678,42.016634,0.0 -87.662847,42.017075,0.0 -87.663153,42.017135,0.0 -87.663155,42.017739,0.0 -87.66327,42.017821,0.0 -87.663282,42.017958,0.0 -87.663367,42.018003,0.0 -87.663424,42.018168,0.0 -87.663348,42.018172,0.0 -87.663247,42.018337,0.0 -87.663263,42.018482,0.0 -87.663347,42.018634,0.0 -87.66365,42.018772,0.0 -87.663863,42.019139,0.0 -87.663876,42.01936,0.0 -87.663655,42.019392,0.0 -87.663657,42.019521,0.0 -87.663889,42.019527,0.0 -87.66394,42.019655,0.0 -87.663867,42.019662,0.0 -87.664034,42.020189,0.0 -87.663784,42.020224,0.0 -87.663812,42.020356,0.0 -87.663739,42.020373,0.0 -87.663821,42.020463,0.0 -87.664015,42.02134,0.0 -87.664269,42.021232,0.0 -87.664586,42.021604,0.0 -87.664601,42.021896,0.0 -87.66467,42.022064,0.0 -87.664798,42.022261,0.0 -87.664945,42.022299,0.0 -87.665126,42.022629,0.0 -87.665145,42.022772,0.0 -87.665064,42.022955,0.0 -87.677062,42.023046,0.0 -87.676247,42.021936,0.0 -87.673123,42.019393,0.0 -87.689997,42.019539,0.0 -87.708667,42.019152,0.0 -87.708777,42.01452,0.0 -87.709027,42.013409,0.0 -87.709063,42.011869,0.0 -87.709199,42.010435,0.0 -87.709365,42.003993,0.0 -87.70935,41.997397,0.0 -87.709607,41.997393,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",Network 2,Philip Salemi,"6323 N. Avondale, Chicago, IL, 60631",773-534-1100,41.984206,-87.679138,02_circle_blue.png
"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.741378,41.909233,0.0 -87.741291,41.91206,0.0 -87.741341,41.913905,0.0 -87.741654,41.924652,0.0 -87.742181,41.938899,0.0 -87.783998,41.938356,0.0 -87.806753,41.938004,0.0 -87.806629,41.934519,0.0 -87.805751,41.908847,0.0 -87.802572,41.90894,0.0 -87.775605,41.909261,0.0 -87.774145,41.865467,0.0 -87.739988,41.865967,0.0 -87.739772,41.86597,0.0 -87.739983,41.869838,0.0 -87.74009,41.87326,0.0 -87.739396,41.873273,0.0 -87.73942,41.874106,0.0 -87.73952,41.876917,0.0 -87.740218,41.876915,0.0 -87.740755,41.891472,0.0 -87.740587,41.89147,0.0 -87.741158,41.89579,0.0 -87.741161,41.896182,0.0 -87.741104,41.896443,0.0 -87.741027,41.896517,0.0 -87.741125,41.898785,0.0 -87.741218,41.898784,0.0 -87.741337,41.899504,0.0 -87.741345,41.900635,0.0 -87.741169,41.900639,0.0 -87.74136,41.908577,0.0 -87.741416,41.908665,0.0 -87.741378,41.909233,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",Network 3,Randel Josserand,"5101 W. Harrison St, Chicago, IL, 60644",773-534-6520,41.918242,-87.763939,03_circle_blue.png
