WARD,ALDERMAN,geometry
1,Proco (Joe) Moreno III,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.682352,41.910401,0.0 -87.687226,41.910329,0.0 -87.687648,41.924909,0.0 -87.687128,41.924913,0.0 -87.687154,41.92568,0.0 -87.685337,41.925703,0.0 -87.685236,41.925522,0.0 -87.685215,41.92494,0.0 -87.683106,41.924971,0.0 -87.683586,41.925244,0.0 -87.679479,41.92863,0.0 -87.678135,41.928319,0.0 -87.678285,41.929063,0.0 -87.678329,41.930409,0.0 -87.678137,41.931885,0.0 -87.678139,41.932289,0.0 -87.683114,41.935879,0.0 -87.683072,41.934342,0.0 -87.682951,41.934047,0.0 -87.682776,41.933874,0.0 -87.680764,41.932418,0.0 -87.680691,41.932349,0.0 -87.680698,41.932263,0.0 -87.683969,41.932224,0.0 -87.684004,41.931686,0.0 -87.684101,41.931549,0.0 -87.687538,41.928779,0.0 -87.688045,41.928525,0.0 -87.689126,41.928382,0.0 -87.689438,41.928379,0.0 -87.690223,41.928521,0.0 -87.690214,41.928261,0.0 -87.689413,41.928257,0.0 -87.689141,41.928168,0.0 -87.688991,41.928062,0.0 -87.688936,41.926714,0.0 -87.689544,41.926708,0.0 -87.68949,41.925433,0.0 -87.694995,41.925381,0.0 -87.69504,41.92666,0.0 -87.695649,41.926655,0.0 -87.695687,41.927657,0.0 -87.697421,41.927639,0.0 -87.697592,41.927706,0.0 -87.698116,41.927705,0.0 -87.698045,41.925285,0.0 -87.699271,41.925274,0.0 -87.699336,41.927694,0.0 -87.699948,41.927686,0.0 -87.699883,41.925267,0.0 -87.700286,41.925279,0.0 -87.70176,41.926185,0.0 -87.701757,41.926597,0.0 -87.702371,41.926592,0.0 -87.702095,41.917453,0.0 -87.706973,41.91741,0.0 -87.706958,41.916879,0.0 -87.716761,41.916768,0.0 -87.716763,41.916821,0.0 -87.720434,41.916792,0.0 -87.720396,41.915424,0.0 -87.719169,41.915439,0.0 -87.719114,41.913674,0.0 -87.716941,41.913645,0.0 -87.709931,41.913731,0.0 -87.709166,41.913703,0.0 -87.706862,41.913781,0.0 -87.701636,41.913834,0.0 -87.701523,41.910183,0.0 -87.694547,41.91025,0.0 -87.694505,41.908427,0.0 -87.697019,41.908404,0.0 -87.696975,41.906586,0.0 -87.687129,41.906674,0.0 -87.687033,41.903024,0.0 -87.687825,41.903016,0.0 -87.68781,41.902524,0.0 -87.696874,41.902438,0.0 -87.696821,41.900207,0.0 -87.686966,41.900301,0.0 -87.686769,41.893028,0.0 -87.684324,41.893067,0.0 -87.684338,41.893524,0.0 -87.676993,41.893634,0.0 -87.676903,41.890419,0.0 -87.674533,41.890467,0.0 -87.674459,41.890481,0.0 -87.674471,41.890873,0.0 -87.669584,41.890951,0.0 -87.669555,41.889856,0.0 -87.659938,41.889968,0.0 -87.657436,41.892927,0.0 -87.65748,41.894774,0.0 -87.66237,41.8947,0.0 -87.662334,41.893424,0.0 -87.665584,41.893377,0.0 -87.665664,41.896106,0.0 -87.66241,41.896158,0.0 -87.662458,41.897977,0.0 -87.664928,41.897937,0.0 -87.664938,41.899285,0.0 -87.666844,41.899257,0.0 -87.66684,41.899726,0.0 -87.667398,41.899716,0.0 -87.667423,41.900625,0.0 -87.666857,41.900634,0.0 -87.666873,41.901542,0.0 -87.667449,41.901532,0.0 -87.667596,41.907015,0.0 -87.670035,41.907,0.0 -87.670027,41.906706,0.0 -87.670281,41.906812,0.0 -87.671159,41.907378,0.0 -87.671339,41.907566,0.0 -87.6725,41.907551,0.0 -87.672531,41.908764,0.0 -87.673115,41.908762,0.0 -87.673124,41.90819,0.0 -87.676336,41.910234,0.0 -87.676347,41.910512,0.0 -87.679912,41.910448,0.0 -87.679692,41.902664,0.0 -87.674811,41.902737,0.0 -87.674772,41.901417,0.0 -87.673551,41.90144,0.0 -87.673446,41.897795,0.0 -87.67467,41.897776,0.0 -87.674632,41.896427,0.0 -87.677071,41.89639,0.0 -87.677058,41.895919,0.0 -87.684402,41.895793,0.0 -87.684586,41.903069,0.0 -87.682146,41.903114,0.0 -87.682352,41.910401,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
2,Brian Hopkins,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.609363,41.903025,0.0 -87.609394,41.903109,0.0 -87.61736,41.901462,0.0 -87.617337,41.901399,0.0 -87.609363,41.903025,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.661373,41.92724,0.0 -87.661047,41.928895,0.0 -87.665867,41.928821,0.0 -87.665774,41.925191,0.0 -87.668152,41.925159,0.0 -87.668108,41.924069,0.0 -87.668633,41.921617,0.0 -87.668258,41.919129,0.0 -87.668101,41.918558,0.0 -87.667387,41.917764,0.0 -87.663907,41.913079,0.0 -87.664548,41.912818,0.0 -87.665618,41.912283,0.0 -87.664917,41.911445,0.0 -87.664465,41.910683,0.0 -87.673805,41.910549,0.0 -87.673853,41.912372,0.0 -87.677163,41.912322,0.0 -87.680364,41.912256,0.0 -87.679852,41.911927,0.0 -87.682386,41.911885,0.0 -87.682352,41.910401,0.0 -87.682146,41.903114,0.0 -87.684586,41.903069,0.0 -87.684402,41.895793,0.0 -87.677058,41.895919,0.0 -87.677071,41.89639,0.0 -87.674632,41.896427,0.0 -87.67467,41.897776,0.0 -87.673446,41.897795,0.0 -87.673551,41.90144,0.0 -87.674772,41.901417,0.0 -87.674811,41.902737,0.0 -87.679692,41.902664,0.0 -87.679912,41.910448,0.0 -87.676347,41.910512,0.0 -87.676336,41.910234,0.0 -87.673124,41.90819,0.0 -87.673115,41.908762,0.0 -87.672531,41.908764,0.0 -87.6725,41.907551,0.0 -87.671339,41.907566,0.0 -87.671159,41.907378,0.0 -87.670281,41.906812,0.0 -87.670027,41.906706,0.0 -87.670035,41.907,0.0 -87.667596,41.907015,0.0 -87.667449,41.901532,0.0 -87.666873,41.901542,0.0 -87.666857,41.900634,0.0 -87.667423,41.900625,0.0 -87.667398,41.899716,0.0 -87.66684,41.899726,0.0 -87.666844,41.899257,0.0 -87.664938,41.899285,0.0 -87.664928,41.897937,0.0 -87.662458,41.897977,0.0 -87.662536,41.900831,0.0 -87.666491,41.903366,0.0 -87.661115,41.903451,0.0 -87.660948,41.904765,0.0 -87.660944,41.90515,0.0 -87.661068,41.905882,0.0 -87.661294,41.90648,0.0 -87.661793,41.90727,0.0 -87.662059,41.907581,0.0 -87.662801,41.908263,0.0 -87.662837,41.910707,0.0 -87.651111,41.910882,0.0 -87.651038,41.908544,0.0 -87.650884,41.908539,0.0 -87.648217,41.908585,0.0 -87.648257,41.910011,0.0 -87.647756,41.909652,0.0 -87.64726,41.910036,0.0 -87.64679,41.910319,0.0 -87.645825,41.910319,0.0 -87.64585,41.910963,0.0 -87.645412,41.91097,0.0 -87.645412,41.910473,0.0 -87.645485,41.910328,0.0 -87.643789,41.910338,0.0 -87.643417,41.910375,0.0 -87.643384,41.909185,0.0 -87.642172,41.909201,0.0 -87.642067,41.905768,0.0 -87.64212,41.905604,0.0 -87.641114,41.904881,0.0 -87.640863,41.905071,0.0 -87.640842,41.905135,0.0 -87.640962,41.909218,0.0 -87.63854,41.90925,0.0 -87.638598,41.911122,0.0 -87.638044,41.91113,0.0 -87.63804,41.911732,0.0 -87.636689,41.911756,0.0 -87.636668,41.91115,0.0 -87.633156,41.911164,0.0 -87.633052,41.907711,0.0 -87.637218,41.907629,0.0 -87.637177,41.906663,0.0 -87.634581,41.9067,0.0 -87.634548,41.905737,0.0 -87.637137,41.905694,0.0 -87.637058,41.903817,0.0 -87.631451,41.903909,0.0 -87.63143,41.903143,0.0 -87.6329,41.903123,0.0 -87.632858,41.901506,0.0 -87.633441,41.901498,0.0 -87.633438,41.901348,0.0 -87.634387,41.901332,0.0 -87.634268,41.898212,0.0 -87.635747,41.898191,0.0 -87.635718,41.897411,0.0 -87.634239,41.897427,0.0 -87.634209,41.896604,0.0 -87.634181,41.895603,0.0 -87.632697,41.895621,0.0 -87.632682,41.89482,0.0 -87.628159,41.894884,0.0 -87.628228,41.897528,0.0 -87.626878,41.897548,0.0 -87.626926,41.898845,0.0 -87.62691,41.899097,0.0 -87.626855,41.899173,0.0 -87.628271,41.899148,0.0 -87.628362,41.902188,0.0 -87.628327,41.902381,0.0 -87.624513,41.902446,0.0 -87.62424,41.901623,0.0 -87.624233,41.900954,0.0 -87.624123,41.900828,0.0 -87.624198,41.900458,0.0 -87.624133,41.899218,0.0 -87.624101,41.897858,0.0 -87.624285,41.896537,0.0 -87.624277,41.895748,0.0 -87.615713,41.895885,0.0 -87.619241,41.901107,0.0 -87.619492,41.901325,0.0 -87.619882,41.901554,0.0 -87.620576,41.901758,0.0 -87.621671,41.901983,0.0 -87.62187,41.902658,0.0 -87.622153,41.903199,0.0 -87.622651,41.903688,0.0 -87.623284,41.904105,0.0 -87.623618,41.904198,0.0 -87.623637,41.904255,0.0 -87.62501,41.904009,0.0 -87.628684,41.90395,0.0 -87.628891,41.911231,0.0 -87.631688,41.911188,0.0 -87.63282,41.913115,0.0 -87.633075,41.912987,0.0 -87.633121,41.912919,0.0 -87.638388,41.912831,0.0 -87.638784,41.912884,0.0 -87.639867,41.912883,0.0 -87.639812,41.911105,0.0 -87.644362,41.910995,0.0 -87.644455,41.913894,0.0 -87.648367,41.913835,0.0 -87.648277,41.910927,0.0 -87.649507,41.910908,0.0 -87.649523,41.911613,0.0 -87.65185,41.913197,0.0 -87.652375,41.913645,0.0 -87.652398,41.913774,0.0 -87.653151,41.913755,0.0 -87.653401,41.913703,0.0 -87.658286,41.917202,0.0 -87.658209,41.917351,0.0 -87.658341,41.921669,0.0 -87.660775,41.921649,0.0 -87.660892,41.925263,0.0 -87.660521,41.925269,0.0 -87.660584,41.927084,0.0 -87.661392,41.927072,0.0 -87.661373,41.92724,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
3,Patricia R. Dowell,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.615987,41.794809,0.0 -87.616152,41.801605,0.0 -87.616116,41.80211,0.0 -87.612509,41.802159,0.0 -87.612552,41.80399,0.0 -87.615513,41.803944,0.0 -87.61556,41.805763,0.0 -87.612593,41.805811,0.0 -87.612634,41.807632,0.0 -87.611417,41.80765,0.0 -87.611504,41.811287,0.0 -87.609872,41.811314,0.0 -87.609918,41.813131,0.0 -87.608284,41.813157,0.0 -87.608325,41.814975,0.0 -87.612803,41.814898,0.0 -87.612863,41.816714,0.0 -87.614096,41.816691,0.0 -87.613363,41.820575,0.0 -87.61263,41.823899,0.0 -87.617003,41.823842,0.0 -87.617078,41.827482,0.0 -87.618343,41.827463,0.0 -87.618412,41.831099,0.0 -87.620556,41.831078,0.0 -87.620626,41.834728,0.0 -87.619417,41.834749,0.0 -87.61945,41.836575,0.0 -87.620629,41.836562,0.0 -87.620642,41.838389,0.0 -87.621931,41.838373,0.0 -87.621984,41.842001,0.0 -87.622555,41.842014,0.0 -87.622543,41.841565,0.0 -87.623293,41.841554,0.0 -87.62341,41.846091,0.0 -87.623586,41.847392,0.0 -87.623674,41.847476,0.0 -87.623694,41.848428,0.0 -87.622997,41.848484,0.0 -87.62218,41.848398,0.0 -87.62228,41.852896,0.0 -87.619181,41.852921,0.0 -87.619046,41.85301,0.0 -87.617217,41.853016,0.0 -87.618286,41.855584,0.0 -87.618618,41.857716,0.0 -87.617552,41.857736,0.0 -87.617119,41.857853,0.0 -87.617588,41.859251,0.0 -87.617999,41.860706,0.0 -87.618532,41.862085,0.0 -87.618956,41.862923,0.0 -87.620068,41.866142,0.0 -87.620405,41.867197,0.0 -87.620406,41.86752,0.0 -87.630441,41.867382,0.0 -87.630255,41.861792,0.0 -87.630279,41.859545,0.0 -87.630163,41.854969,0.0 -87.630067,41.852885,0.0 -87.630301,41.852882,0.0 -87.630141,41.85189,0.0 -87.630016,41.84727,0.0 -87.629567,41.830979,0.0 -87.63151,41.830947,0.0 -87.631471,41.82907,0.0 -87.632673,41.829043,0.0 -87.632633,41.827289,0.0 -87.633847,41.827272,0.0 -87.633769,41.823624,0.0 -87.636175,41.823592,0.0 -87.635836,41.809613,0.0 -87.63578,41.809055,0.0 -87.640684,41.80896,0.0 -87.640599,41.805574,0.0 -87.640663,41.805182,0.0 -87.641519,41.805016,0.0 -87.643003,41.804988,0.0 -87.642782,41.796179,0.0 -87.640447,41.796221,0.0 -87.640415,41.795311,0.0 -87.637894,41.795359,0.0 -87.637864,41.794442,0.0 -87.635368,41.794486,0.0 -87.63527,41.790845,0.0 -87.625612,41.791016,0.0 -87.625697,41.794308,0.0 -87.620843,41.794407,0.0 -87.620829,41.793838,0.0 -87.615964,41.79393,0.0 -87.615987,41.794809,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
4,"William ""Will"" D. Burns","<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.610115,41.874138,0.0 -87.610106,41.87487,0.0 -87.610259,41.874871,0.0 -87.610268,41.874139,0.0 -87.610328,41.874049,0.0 -87.614821,41.868889,0.0 -87.614725,41.868843,0.0 -87.610115,41.874138,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-87.614847,41.868329,0.0 -87.615379,41.86831,0.0 -87.615711,41.868658,0.0 -87.616218,41.868907,0.0 -87.616239,41.871722,0.0 -87.616287,41.871975,0.0 -87.616206,41.871978,0.0 -87.616234,41.873305,0.0 -87.625972,41.873133,0.0 -87.626088,41.878254,0.0 -87.62758,41.878227,0.0 -87.627683,41.878184,0.0 -87.630791,41.878156,0.0 -87.630755,41.876892,0.0 -87.633116,41.87687,0.0 -87.633062,41.874496,0.0 -87.633128,41.874496,0.0 -87.633062,41.872169,0.0 -87.632117,41.872202,0.0 -87.63204,41.869894,0.0 -87.631535,41.867362,0.0 -87.630441,41.867382,0.0 -87.620406,41.86752,0.0 -87.620405,41.867197,0.0 -87.620068,41.866142,0.0 -87.618956,41.862923,0.0 -87.618532,41.862085,0.0 -87.617999,41.860706,0.0 -87.617588,41.859251,0.0 -87.617119,41.857853,0.0 -87.617552,41.857736,0.0 -87.618618,41.857716,0.0 -87.618286,41.855584,0.0 -87.617217,41.853016,0.0 -87.619046,41.85301,0.0 -87.619181,41.852921,0.0 -87.62228,41.852896,0.0 -87.62218,41.848398,0.0 -87.622997,41.848484,0.0 -87.623694,41.848428,0.0 -87.623674,41.847476,0.0 -87.623586,41.847392,0.0 -87.62341,41.846091,0.0 -87.623293,41.841554,0.0 -87.622543,41.841565,0.0 -87.622555,41.842014,0.0 -87.621984,41.842001,0.0 -87.621931,41.838373,0.0 -87.620642,41.838389,0.0 -87.620629,41.836562,0.0 -87.61945,41.836575,0.0 -87.619417,41.834749,0.0 -87.620626,41.834728,0.0 -87.620556,41.831078,0.0 -87.618412,41.831099,0.0 -87.618343,41.827463,0.0 -87.617078,41.827482,0.0 -87.617003,41.823842,0.0 -87.61263,41.823899,0.0 -87.613363,41.820575,0.0 -87.614096,41.816691,0.0 -87.612863,41.816714,0.0 -87.612803,41.814898,0.0 -87.608325,41.814975,0.0 -87.608284,41.813157,0.0 -87.609918,41.813131,0.0 -87.609872,41.811314,0.0 -87.611504,41.811287,0.0 -87.611417,41.80765,0.0 -87.612634,41.807632,0.0 -87.612593,41.805811,0.0 -87.61556,41.805763,0.0 -87.615513,41.803944,0.0 -87.612552,41.80399,0.0 -87.612509,41.802159,0.0 -87.616116,41.80211,0.0 -87.616152,41.801605,0.0 -87.615987,41.794809,0.0 -87.614711,41.79483,0.0 -87.614562,41.796192,0.0 -87.614068,41.797647,0.0 -87.613935,41.798517,0.0 -87.60792,41.798632,0.0 -87.607284,41.796578,0.0 -87.607245,41.795745,0.0 -87.607389,41.794979,0.0 -87.606221,41.794973,0.0 -87.606413,41.802259,0.0 -87.599814,41.802339,0.0 -87.599777,41.800898,0.0 -87.598449,41.800911,0.0 -87.598215,41.800914,0.0 -87.598253,41.802358,0.0 -87.596713,41.802374,0.0 -87.596648,41.799465,0.0 -87.595031,41.799481,0.0 -87.594929,41.795093,0.0 -87.593353,41.795116,0.0 -87.593403,41.795209,0.0 -87.593452,41.79801,0.0 -87.591754,41.798054,0.0 -87.591764,41.798446,0.0 -87.592633,41.798435,0.0 -87.592661,41.799508,0.0 -87.587039,41.799573,0.0 -87.587291,41.801321,0.0 -87.587729,41.803009,0.0 -87.588448,41.804977,0.0 -87.589153,41.806358,0.0 -87.587757,41.806802,0.0 -87.587595,41.806718,0.0 -87.586558,41.805851,0.0 -87.584865,41.806912,0.0 -87.585423,41.807569,0.0 -87.586046,41.80862,0.0 -87.586269,41.809175,0.0 -87.586889,41.810051,0.0 -87.587001,41.810338,0.0 -87.58704,41.810642,0.0 -87.586946,41.811192,0.0 -87.586999,41.811192,0.0 -87.587378,41.811824,0.0 -87.58774,41.81202,0.0 -87.588302,41.812068,0.0 -87.588657,41.812261,0.0 -87.589124,41.812854,0.0 -87.589502,41.813041,0.0 -87.58945,41.8131,0.0 -87.589472,41.813171,0.0 -87.589879,41.813535,0.0 -87.590093,41.813822,0.0 -87.590231,41.814495,0.0 -87.590304,41.814624,0.0 -87.590786,41.815067,0.0 -87.591243,41.815849,0.0 -87.591917,41.816375,0.0 -87.592111,41.816625,0.0 -87.592158,41.816736,0.0 -87.592197,41.817689,0.0 -87.592621,41.81835,0.0 -87.592962,41.818582,0.0 -87.593491,41.81882,0.0 -87.593707,41.819047,0.0 -87.594446,41.819527,0.0 -87.594871,41.81999,0.0 -87.594918,41.820107,0.0 -87.594133,41.821486,0.0 -87.59426,41.821509,0.0 -87.594436,41.821174,0.0 -87.594502,41.821189,0.0 -87.595096,41.821454,0.0 -87.595741,41.821905,0.0 -87.596801,41.82239,0.0 -87.596886,41.822473,0.0 -87.597319,41.82339,0.0 -87.596749,41.823573,0.0 -87.59671,41.823626,0.0 -87.596772,41.823673,0.0 -87.597371,41.823462,0.0 -87.597639,41.824042,0.0 -87.597703,41.824574,0.0 -87.597487,41.825648,0.0 -87.597645,41.826181,0.0 -87.597954,41.826563,0.0 -87.598263,41.826805,0.0 -87.599978,41.827938,0.0 -87.600302,41.828274,0.0 -87.601643,41.829983,0.0 -87.602246,41.830537,0.0 -87.602508,41.830854,0.0 -87.602735,41.831498,0.0 -87.60277,41.831861,0.0 -87.60271,41.83234,0.0 -87.602923,41.832731,0.0 -87.602304,41.833236,0.0 -87.602235,41.833304,0.0 -87.602246,41.833388,0.0 -87.602353,41.833427,0.0 -87.602413,41.833401,0.0 -87.603134,41.832845,0.0 -87.603492,41.833017,0.0 -87.603921,41.833043,0.0 -87.604357,41.833204,0.0 -87.604559,41.833357,0.0 -87.604874,41.833803,0.0 -87.605045,41.834446,0.0 -87.605163,41.834528,0.0 -87.604993,41.83467,0.0 -87.604879,41.834594,0.0 -87.604775,41.83462,0.0 -87.604574,41.834818,0.0 -87.604587,41.835021,0.0 -87.605314,41.835689,0.0 -87.605853,41.836452,0.0 -87.606077,41.837301,0.0 -87.606142,41.838529,0.0 -87.603422,41.839153,0.0 -87.602307,41.838431,0.0 -87.602001,41.838102,0.0 -87.601494,41.837158,0.0 -87.601171,41.836119,0.0 -87.601104,41.835678,0.0 -87.601146,41.834815,0.0 -87.601254,41.834423,0.0 -87.601874,41.833087,0.0 -87.601828,41.832955,0.0 -87.601725,41.832943,0.0 -87.601645,41.832966,0.0 -87.601564,41.833102,0.0 -87.601017,41.834254,0.0 -87.60085,41.834956,0.0 -87.60083,41.835313,0.0 -87.600869,41.836064,0.0 -87.601036,41.836774,0.0 -87.601167,41.837132,0.0 -87.601596,41.837944,0.0 -87.601792,41.838226,0.0 -87.602312,41.838735,0.0 -87.603356,41.839379,0.0 -87.604196,41.839688,0.0 -87.604191,41.839836,0.0 -87.604281,41.839835,0.0 -87.604283,41.83959,0.0 -87.604716,41.838968,0.0 -87.604987,41.838907,0.0 -87.606159,41.839385,0.0 -87.607013,41.839896,0.0 -87.607163,41.84004,0.0 -87.607318,41.840547,0.0 -87.607001,41.840608,0.0 -87.606719,41.840511,0.0 -87.606684,41.840569,0.0 -87.60699,41.840675,0.0 -87.607533,41.840568,0.0 -87.607855,41.841038,0.0 -87.607985,41.841403,0.0 -87.608025,41.842313,0.0 -87.608777,41.843372,0.0 -87.608921,41.843963,0.0 -87.609156,41.844247,0.0 -87.609173,41.844525,0.0 -87.609112,41.844811,0.0 -87.608546,41.845613,0.0 -87.608414,41.846074,0.0 -87.608544,41.846584,0.0 -87.609332,41.847644,0.0 -87.609495,41.848082,0.0 -87.609549,41.848704,0.0 -87.609204,41.850456,0.0 -87.609228,41.850917,0.0 -87.609394,41.851291,0.0 -87.610379,41.852513,0.0 -87.610723,41.853086,0.0 -87.610943,41.853716,0.0 -87.611028,41.854513,0.0 -87.611167,41.854872,0.0 -87.611432,41.855158,0.0 -87.612482,41.85585,0.0 -87.612693,41.856076,0.0 -87.612858,41.856364,0.0 -87.61306,41.85704,0.0 -87.613048,41.857619,0.0 -87.61273,41.858366,0.0 -87.612545,41.858502,0.0 -87.612271,41.858515,0.0 -87.612193,41.858592,0.0 -87.612207,41.859273,0.0 -87.612448,41.859996,0.0 -87.612321,41.86016,0.0 -87.612189,41.860183,0.0 -87.612156,41.860353,0.0 -87.612399,41.860362,0.0 -87.612396,41.860463,0.0 -87.612211,41.860469,0.0 -87.612209,41.860592,0.0 -87.612365,41.860647,0.0 -87.612442,41.860772,0.0 -87.612521,41.860771,0.0 -87.612567,41.861381,0.0 -87.612654,41.86138,0.0 -87.61279,41.861557,0.0 -87.613189,41.862226,0.0 -87.613436,41.862872,0.0 -87.613446,41.863379,0.0 -87.613137,41.864457,0.0 -87.612747,41.865296,0.0 -87.612656,41.865287,0.0 -87.612675,41.865851,0.0 -87.610486,41.865873,0.0 -87.610453,41.865327,0.0 -87.610377,41.86533,0.0 -87.609961,41.864642,0.0 -87.609746,41.864099,0.0 -87.609611,41.863413,0.0 -87.609656,41.863411,0.0 -87.609634,41.863297,0.0 -87.60968,41.863254,0.0 -87.609782,41.862495,0.0 -87.609903,41.862117,0.0 -87.61029,41.861406,0.0 -87.610367,41.861404,0.0 -87.610354,41.860856,0.0 -87.610431,41.860857,0.0 -87.610536,41.860695,0.0 -87.610681,41.860659,0.0 -87.610674,41.860214,0.0 -87.610467,41.860138,0.0 -87.610368,41.859872,0.0 -87.610482,41.859289,0.0 -87.610399,41.859172,0.0 -87.610014,41.85889,0.0 -87.609891,41.858651,0.0 -87.61,41.85809,0.0 -87.60993,41.857664,0.0 -87.609776,41.857385,0.0 -87.609413,41.857013,0.0 -87.609341,41.856825,0.0 -87.60992,41.854045,0.0 -87.609903,41.853778,0.0 -87.609781,41.853567,0.0 -87.609594,41.853401,0.0 -87.609322,41.853264,0.0 -87.60901,41.853189,0.0 -87.608399,41.853203,0.0 -87.606516,41.853366,0.0 -87.606519,41.853423,0.0 -87.606602,41.853419,0.0 -87.607078,41.859966,0.0 -87.606843,41.860065,0.0 -87.60597,41.860088,0.0 -87.606027,41.862013,0.0 -87.606091,41.862082,0.0 -87.606419,41.862077,0.0 -87.606537,41.862212,0.0 -87.60663,41.862173,0.0 -87.606743,41.862195,0.0 -87.606812,41.86232,0.0 -87.606961,41.862382,0.0 -87.607197,41.862825,0.0 -87.60747,41.863594,0.0 -87.607585,41.864282,0.0 -87.607516,41.864565,0.0 -87.607363,41.86482,0.0 -87.607098,41.865067,0.0 -87.606876,41.865189,0.0 -87.60668,41.86524,0.0 -87.606591,41.86522,0.0 -87.606319,41.864974,0.0 -87.606298,41.864793,0.0 -87.606051,41.864801,0.0 -87.606057,41.865689,0.0 -87.6058,41.865901,0.0 -87.605663,41.866125,0.0 -87.605614,41.86637,0.0 -87.605685,41.866674,0.0 -87.605841,41.866892,0.0 -87.60614,41.867104,0.0 -87.606438,41.86721,0.0 -87.606765,41.86725,0.0 -87.607324,41.867152,0.0 -87.607754,41.866866,0.0 -87.612694,41.866761,0.0 -87.612695,41.866977,0.0 -87.61243,41.867274,0.0 -87.612339,41.867641,0.0 -87.612455,41.868003,0.0 -87.612716,41.868275,0.0 -87.61314,41.868467,0.0 -87.613644,41.868514,0.0 -87.614228,41.868492,0.0 -87.614847,41.868329,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
