ID,Middle School Boundary,Middle School Address,Boundary grades,geometry
610051,NORTHWEST,"5252 W Palmer St  Chicago, IL 60639","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.752679,41.915096,0.0 -87.749372,41.914696,0.0 -87.749239,41.911424,0.0 -87.743693,41.911497,0.0 -87.743549,41.911451,0.0 -87.743576,41.912966,0.0 -87.741435,41.912118,0.0 -87.741493,41.913737,0.0 -87.738142,41.913348,0.0 -87.736225,41.913325,0.0 -87.736281,41.915235,0.0 -87.737505,41.915221,0.0 -87.737792,41.924361,0.0 -87.741842,41.924308,0.0 -87.741914,41.926295,0.0 -87.746382,41.926238,0.0 -87.746451,41.927917,0.0 -87.751366,41.927854,0.0 -87.751511,41.931475,0.0 -87.756426,41.931407,0.0 -87.756527,41.934147,0.0 -87.758967,41.934114,0.0 -87.759,41.935029,0.0 -87.770021,41.934886,0.0 -87.769707,41.925754,0.0 -87.753758,41.926005,0.0 -87.753688,41.924149,0.0 -87.756152,41.924115,0.0 -87.756098,41.922288,0.0 -87.754869,41.922303,0.0 -87.754761,41.918465,0.0 -87.75464,41.918118,0.0 -87.754605,41.916874,0.0 -87.753381,41.916852,0.0 -87.75292,41.916663,0.0 -87.752854,41.915117,0.0 -87.752679,41.915096,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610142,RAY,"5631 S Kimbark Ave  Chicago, IL 60637","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.586246,41.809114,0.0 -87.586434,41.809366,0.0 -87.586447,41.809477,0.0 -87.586763,41.809829,0.0 -87.586959,41.810212,0.0 -87.58704,41.810642,0.0 -87.586946,41.811192,0.0 -87.586999,41.811192,0.0 -87.587222,41.811584,0.0 -87.591775,41.809786,0.0 -87.592081,41.809708,0.0 -87.599271,41.809622,0.0 -87.599138,41.802347,0.0 -87.596713,41.802374,0.0 -87.596648,41.799465,0.0 -87.587308,41.799572,0.0 -87.587527,41.801147,0.0 -87.587863,41.802483,0.0 -87.583829,41.802538,0.0 -87.583717,41.80259,0.0 -87.58037,41.802587,0.0 -87.580295,41.802873,0.0 -87.580453,41.802939,0.0 -87.580023,41.803595,0.0 -87.580031,41.803779,0.0 -87.580121,41.803935,0.0 -87.580672,41.804214,0.0 -87.5809,41.804202,0.0 -87.581208,41.804281,0.0 -87.581748,41.804748,0.0 -87.582904,41.805591,0.0 -87.582985,41.805598,0.0 -87.583697,41.806078,0.0 -87.584207,41.806585,0.0 -87.584782,41.806839,0.0 -87.585424,41.80757,0.0 -87.586046,41.80862,0.0 -87.586246,41.809114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610212,ALBANY PARK,"4929 N Sawyer Ave  Chicago, IL 60625","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.708661,41.974803,0.0 -87.708687,41.975756,0.0 -87.715994,41.975672,0.0 -87.715814,41.968384,0.0 -87.713369,41.968409,0.0 -87.713327,41.967013,0.0 -87.71328,41.965549,0.0 -87.710838,41.965572,0.0 -87.71081,41.964688,0.0 -87.708361,41.964707,0.0 -87.705917,41.964726,0.0 -87.705979,41.966656,0.0 -87.703533,41.966674,0.0 -87.703611,41.968502,0.0 -87.701082,41.968523,0.0 -87.701445,41.96895,0.0 -87.701551,41.969205,0.0 -87.701889,41.969553,0.0 -87.702027,41.969632,0.0 -87.70257,41.97024,0.0 -87.703225,41.971249,0.0 -87.703575,41.971961,0.0 -87.703831,41.973061,0.0 -87.704043,41.973559,0.0 -87.704786,41.973963,0.0 -87.707797,41.974676,0.0 -87.708657,41.974689,0.0 -87.708661,41.974803,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610215,MADERO,"3202 W 28th St  Chicago, IL 60623","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.699981,41.839053,0.0 -87.700154,41.844621,0.0 -87.708694,41.844475,0.0 -87.711137,41.844442,0.0 -87.71099,41.839115,0.0 -87.710986,41.838959,0.0 -87.709765,41.838979,0.0 -87.70972,41.837153,0.0 -87.704829,41.837241,0.0 -87.704675,41.831648,0.0 -87.703156,41.832108,0.0 -87.699561,41.833358,0.0 -87.694962,41.834778,0.0 -87.695035,41.837419,0.0 -87.69993,41.837332,0.0 -87.699981,41.839053,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610218,WARREN,"9239 S Jeffery Ave  Chicago, IL 60617","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.578064,41.733383,0.0 -87.580494,41.733346,0.0 -87.581031,41.733418,0.0 -87.585139,41.733344,0.0 -87.584959,41.725145,0.0 -87.585007,41.724294,0.0 -87.585164,41.724132,0.0 -87.585147,41.722956,0.0 -87.577808,41.723049,0.0 -87.578064,41.733383,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610218,WARREN,"9239 S Jeffery Ave  Chicago, IL 60617","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.563604,41.735695,0.0 -87.565706,41.737206,0.0 -87.573308,41.737099,0.0 -87.573115,41.729802,0.0 -87.569463,41.729851,0.0 -87.56461,41.729915,0.0 -87.564687,41.733551,0.0 -87.56276,41.735088,0.0 -87.563604,41.735695,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610218,WARREN,"9239 S Jeffery Ave  Chicago, IL 60617","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.560747,41.723483,0.0 -87.561001,41.731545,0.0 -87.561363,41.731813,0.0 -87.559867,41.733003,0.0 -87.56276,41.735088,0.0 -87.564687,41.733551,0.0 -87.56461,41.729915,0.0 -87.569463,41.729851,0.0 -87.569307,41.724384,0.0 -87.569327,41.723156,0.0 -87.560743,41.723263,0.0 -87.560747,41.723483,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610319,EVERGREEN,"3537 S Paulina St  Chicago, IL 60609","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.663084,41.836831,0.0 -87.663445,41.837813,0.0 -87.664274,41.839041,0.0 -87.664543,41.839563,0.0 -87.664548,41.840668,0.0 -87.664849,41.841251,0.0 -87.664975,41.841627,0.0 -87.664315,41.842809,0.0 -87.663925,41.844008,0.0 -87.664913,41.844716,0.0 -87.665129,41.844826,0.0 -87.665604,41.844937,0.0 -87.66674,41.84495,0.0 -87.667224,41.84491,0.0 -87.667509,41.84483,0.0 -87.669937,41.843991,0.0 -87.672869,41.842842,0.0 -87.674324,41.842018,0.0 -87.674883,41.841751,0.0 -87.675747,41.841506,0.0 -87.677064,41.840556,0.0 -87.677623,41.840247,0.0 -87.683343,41.838365,0.0 -87.685546,41.837732,0.0 -87.687528,41.837014,0.0 -87.687787,41.83696,0.0 -87.687774,41.836514,0.0 -87.687861,41.836309,0.0 -87.687769,41.83631,0.0 -87.687763,41.836129,0.0 -87.687939,41.836126,0.0 -87.688213,41.835802,0.0 -87.688198,41.835281,0.0 -87.687884,41.835385,0.0 -87.687883,41.835282,0.0 -87.687741,41.835327,0.0 -87.687739,41.835283,0.0 -87.687882,41.835238,0.0 -87.687877,41.834863,0.0 -87.687729,41.83491,0.0 -87.687619,41.830242,0.0 -87.68504,41.830289,0.0 -87.684858,41.824198,0.0 -87.684883,41.823004,0.0 -87.684047,41.82125,0.0 -87.684084,41.822606,0.0 -87.683803,41.822609,0.0 -87.683485,41.822204,0.0 -87.683032,41.821846,0.0 -87.683018,41.821693,0.0 -87.682519,41.821496,0.0 -87.682512,41.821218,0.0 -87.681251,41.820773,0.0 -87.679966,41.820506,0.0 -87.678985,41.820409,0.0 -87.678379,41.820418,0.0 -87.671942,41.821089,0.0 -87.671244,41.82108,0.0 -87.670441,41.820968,0.0 -87.66785,41.821011,0.0 -87.667465,41.820969,0.0 -87.667451,41.820388,0.0 -87.665452,41.820419,0.0 -87.66544,41.819967,0.0 -87.665247,41.819991,0.0 -87.665351,41.822043,0.0 -87.665468,41.823158,0.0 -87.659982,41.823215,0.0 -87.659948,41.823752,0.0 -87.659697,41.824248,0.0 -87.659487,41.825026,0.0 -87.659355,41.826036,0.0 -87.659308,41.830586,0.0 -87.657391,41.830608,0.0 -87.657403,41.831092,0.0 -87.657435,41.831205,0.0 -87.657684,41.831483,0.0 -87.66036,41.834378,0.0 -87.661293,41.834871,0.0 -87.661677,41.835261,0.0 -87.661996,41.835698,0.0 -87.662492,41.836149,0.0 -87.663084,41.836831,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610321,MARSHALL MIDDLE,"3900 N Lawndale Ave  Chicago, IL 60618","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.713327,41.967013,0.0 -87.713369,41.968409,0.0 -87.715814,41.968384,0.0 -87.732974,41.968194,0.0 -87.732948,41.96709,0.0 -87.732668,41.967094,0.0 -87.733768,41.966215,0.0 -87.733326,41.965913,0.0 -87.735,41.964583,0.0 -87.729699,41.960935,0.0 -87.727834,41.960955,0.0 -87.727795,41.959622,0.0 -87.721874,41.955565,0.0 -87.712976,41.955704,0.0 -87.712911,41.953865,0.0 -87.710471,41.9539,0.0 -87.710642,41.959353,0.0 -87.709419,41.959361,0.0 -87.709478,41.961183,0.0 -87.708254,41.961195,0.0 -87.708361,41.964707,0.0 -87.71081,41.964688,0.0 -87.710838,41.965572,0.0 -87.71328,41.965549,0.0 -87.713327,41.967013,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610329,OROZCO,"1940 W 18th St  Chicago, IL 60608","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.673517,41.859525,0.0 -87.673605,41.859525,0.0 -87.673645,41.859679,0.0 -87.678488,41.858967,0.0 -87.678399,41.855813,0.0 -87.673502,41.855877,0.0 -87.673448,41.854054,0.0 -87.668553,41.854117,0.0 -87.668479,41.851349,0.0 -87.666275,41.852165,0.0 -87.66603,41.852339,0.0 -87.66362,41.852387,0.0 -87.663769,41.857843,0.0 -87.666144,41.857802,0.0 -87.666204,41.859615,0.0 -87.673517,41.859525,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610345,WOODSON,"4414 S Evans  Chicago, IL 60653","_4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.587732,41.812009,0.0 -87.588302,41.812068,0.0 -87.588657,41.812261,0.0 -87.589124,41.812854,0.0 -87.589502,41.813041,0.0 -87.58945,41.8131,0.0 -87.589472,41.813171,0.0 -87.589879,41.813535,0.0 -87.590093,41.813822,0.0 -87.590231,41.814495,0.0 -87.590304,41.814624,0.0 -87.590786,41.815067,0.0 -87.591243,41.815849,0.0 -87.592019,41.816483,0.0 -87.592158,41.816736,0.0 -87.592159,41.816937,0.0 -87.596889,41.816936,0.0 -87.604069,41.816853,0.0 -87.603903,41.809573,0.0 -87.599271,41.809622,0.0 -87.592081,41.809708,0.0 -87.591775,41.809786,0.0 -87.587222,41.811584,0.0 -87.587427,41.811875,0.0 -87.587732,41.812009,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610532,HERNANDEZ,"3510 W 55th St  Chicago, IL 60632","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.718265,41.793137,0.0 -87.71819,41.790569,0.0 -87.715745,41.790606,0.0 -87.715457,41.780602,0.0 -87.703193,41.780803,0.0 -87.703252,41.782615,0.0 -87.695937,41.782731,0.0 -87.696141,41.790015,0.0 -87.697362,41.789994,0.0 -87.697466,41.793634,0.0 -87.713421,41.793369,0.0 -87.713632,41.800605,0.0 -87.713504,41.800698,0.0 -87.713712,41.800821,0.0 -87.713783,41.804005,0.0 -87.713832,41.804044,0.0 -87.714125,41.80389,0.0 -87.714805,41.803711,0.0 -87.715446,41.803465,0.0 -87.715684,41.80301,0.0 -87.715974,41.803006,0.0 -87.722168,41.800576,0.0 -87.718473,41.800628,0.0 -87.718265,41.793137,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
610559,SHIELDS MIDDLE,"2611 W 48th St  Chicago, IL 60632","_5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.694588,41.817358,0.0 -87.698177,41.817296,0.0 -87.698513,41.817615,0.0 -87.699403,41.817072,0.0 -87.699288,41.813759,0.0 -87.699284,41.813661,0.0 -87.694377,41.813744,0.0 -87.694093,41.804184,0.0 -87.693973,41.804099,0.0 -87.692541,41.804119,0.0 -87.691906,41.804009,0.0 -87.690779,41.804254,0.0 -87.689339,41.804301,0.0 -87.689099,41.804351,0.0 -87.684514,41.804435,0.0 -87.684366,41.804426,0.0 -87.684358,41.804331,0.0 -87.683749,41.804349,0.0 -87.683879,41.808425,0.0 -87.679742,41.808465,0.0 -87.679745,41.808567,0.0 -87.679866,41.808565,0.0 -87.679963,41.81212,0.0 -87.680211,41.812116,0.0 -87.680296,41.815264,0.0 -87.68071,41.816266,0.0 -87.681108,41.816997,0.0 -87.682272,41.818689,0.0 -87.682274,41.818777,0.0 -87.683535,41.820594,0.0 -87.683591,41.820594,0.0 -87.684047,41.82125,0.0 -87.684883,41.823004,0.0 -87.684773,41.821108,0.0 -87.687259,41.821088,0.0 -87.687166,41.817479,0.0 -87.689586,41.817444,0.0 -87.689621,41.818579,0.0 -87.69124,41.818563,0.0 -87.693401,41.820752,0.0 -87.694572,41.820031,0.0 -87.694488,41.817368,0.0 -87.694588,41.817358,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
