ID,Uniqueid,Lat,Long,School,Address,City,Zip,Phone,Grades,BoundaryGrades,GradesLong,Type,Typenum,Classification,Boundary,Marker,Polygon,ProgramType,Rating,Count,Growth,Attainment,Culture,Mobility,Dress,ADA,Reading,Math,ACT,Graduation,College
400009,1,41.807579,-87.740097,GLOBAL CITIZENSHIP,4647 W 47th St,"Chicago, IL",60632,1(773)582-1100,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,450,Above Average,Average,Not Enough Data,4.3,Yes,Fully Accessible,57th,44th,,,
400010,2,41.796122,-87.625849,ACE TECH HS,5410 S State St,"Chicago, IL",60609,1(773)548-8705,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,435,Below Average,Far Below Average,Partially Organized,27.3,Yes,Generally Accessible,,,15.2,69.6,49.4
400011,3,41.877248,-87.705235,LOCKE A,3141 W Jackson Blvd,"Chicago, IL",60612,1(773)265-7232,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,567,Average,Above Average,Not Enough Data,4.7,Yes,Generally Accessible,80th,84th,,,
400012,4,41.770802,-87.635472,AMANDLA HS,6800 S Stewart Ave,"Chicago, IL",60621,1(773)535-7150,_5-12,,"_5, 6, 7, 8, 9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,327,Below Average,Below Average,Not Yet Organized,24.3,Yes,Generally Accessible,14th,6th,,,
400013,5,41.937298,-87.727096,ASPIRA - EARLY COLLEGE HS,3986 W Barry Ave,"Chicago, IL",60618,1(773)252-0970 x137,_9-12,,"_9, 10, 11, 12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,443,Average,Below Average,Not Yet Organized,,Yes,Fully Accessible,,,15.3,67.1,40.2
400017,6,41.966406,-87.721825,ASPIRA - HAUGAN,3729 W Leland Ave,"Chicago, IL",60625,1(773)252-0970,_6-8,_6-8,"_6, 7, 8",Middle School Charter,2,Charter,Charter-Attendance Area School,orange_c,,,Level 2+,529,Average,Average,Organized,,Yes,Fully Accessible,44th,45th,,,
400018,7,41.884205,-87.761891,AUSTIN BUS & ENTRP HS,231 N Pine Ave,"Chicago, IL",60644,1(773)534-6316,_9-12,,"_9, 10, 11, 12",High School,3,Citywide,Citywide,red_circle,,CTE_CCA||,Level 2,100,Below Average,Far Below Average,Partially Organized,37.1,Yes,Generally Accessible,,,14.5,63.5,40.4
400019,8,41.819277,-87.626622,BRONZEVILLE LIGHTHOUSE,8 W Root St,"Chicago, IL",60609,1(773)535-1460,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 3,478,Below Average,Below Average,Not Yet Organized,5.2,Yes,Generally Accessible,20th,31st,,,
400021,9,41.882322,-87.765322,CATALYST - CIRCLE ROCK,5608 W Washington Blvd,"Chicago, IL",60644,1(773)945-5025,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,516,Below Average,Below Average,Partially Organized,5.1,Yes,No/Unknown Accessibility,30th,27th,,,
400022,10,41.899377,-87.694945,CHICAGO ARTS HS,2714 W Augusta Blvd,"Chicago, IL",60622,1(773)534-9710,_9-12,,"_9, 10, 11, 12",High School,3,Contract,Citywide,red_circle,,,Level 1+,592,Above Average,Average,Organized,4.2,No,Generally Accessible,,,20,80.4,83.1
400023,11,41.743179,-87.587928,CICS - AVALON/SOUTH SHORE,1501 E 83rd Pl,"Chicago, IL",60619,1(773)721-0858,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,422,Above Average,Far Above Average,Organized,,Yes,Generally Accessible,89th,94th,,,
400024,12,41.794043,-87.670243,CICS - BASIL,1816 W Garfield Blvd,"Chicago, IL",60609,1(773)778-9455,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,720,Average,Above Average,Partially Organized,,Yes,Fully Accessible,65th,82nd,,,
400025,13,41.922415,-87.681358,CICS - BUCKTOWN,2235 N Hamilton Ave,"Chicago, IL",60647,1(773)645-3321,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,675,Below Average,Average,Organized,,Yes,No/Unknown Accessibility,61st,60th,,,
400026,14,41.720246,-87.657561,CICS - LOOMIS,9535 S Loomis St,"Chicago, IL",60643,1(773)429-8955,_K-2,,"_K, 1, 2",Elementary Charter,1,Charter,Citywide,blue_c,,,Inability to Rate,568,No Data Available,No Data Available,Moderately Organized,,Yes,Generally Accessible,,,,,
400027,15,41.950891,-87.710492,CICS - IRVING PARK,3820 N Spaulding Ave,"Chicago, IL",60618,1(773)433-5000,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,536,Average,Far Above Average,Well Organized,,Yes,Fully Accessible,89th,92nd,,,
400028,16,41.684433,-87.616888,CICS - PRAIRIE,11530 S Prairie Ave,"Chicago, IL",60628,1(773)928-0480,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,408,Below Average,Below Average,Moderately Organized,,Yes,No/Unknown Accessibility,34th,33rd,,,
400029,17,41.783617,-87.622068,CICS - WASHINGTON PARK,6105 S Michigan Ave,"Chicago, IL",60637,1(773)324-3300,_K-8,,"_K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,453,Average,Average,Organized,,Yes,No/Unknown Accessibility,52nd,46th,,,
